Date,Open,High,Low,Close
1991-12-31,160.40,160.40,160.40,160.40
1992-12-31,2508.85,2508.85,2508.85,2508.85
1993-12-31,839.87,839.87,839.87,839.87
1994-12-31,215.02,215.02,215.02,215.02
1995-12-31,131.33,131.33,131.33,131.33
1996-12-31,21.81,21.81,21.81,21.81
1997-12-31,11.03,11.03,11.03,11.03
1998-12-31,84.44,84.44,84.44,84.44
1999-12-31,36.56,36.56,36.56,36.56
2000-12-31,20.20,20.20,20.20,20.20
2001-12-31,18.58,18.58,18.58,18.58
2002-12-31,15.06,15.06,15.06,15.06
2003-12-31,11.99,11.99,11.99,11.99
2004-12-31,11.74,11.74,11.74,11.74
2005-12-31,10.91,10.91,10.91,10.91
2006-12-31,9.00,9.00,9.00,9.00
2007-12-31,11.87,11.87,11.87,11.87
2008-12-31,13.28,13.28,13.28,13.28
2009-12-31,8.80,8.80,8.80,8.80
2010-12-31,8.78,8.78,8.78,8.78
2011-12-31,6.10,6.10,6.10,6.10
2012-12-31,6.58,6.58,6.58,6.58
2013-12-31,6.45,6.45,6.45,6.45
2014-12-31,11.36,11.36,11.36,11.36
2015-12-31,12.91,12.91,12.91,12.91
2016-12-31,5.38,5.38,5.38,5.38
2017-12-31,2.52,2.52,2.52,2.52
2018-12-31,4.27,4.27,4.27,4.27
2019-12-31,3.05,3.05,3.05,3.05
2020-12-31,4.91,4.91,4.91,4.91
2021-12-31,8.39,8.39,8.39,8.39
2022-12-31,11.92,11.92,11.92,11.92
2023-12-31,7.42,7.42,7.42,7.42
