Date,Open,High,Low,Close
1967-01-31,119.890,119.890,119.890,119.890
1967-02-28,119.810,119.810,119.810,119.810
1967-03-31,119.790,119.790,119.790,119.790
1967-04-28,119.720,119.720,119.720,119.720
1967-05-31,119.640,119.640,119.640,119.640
1967-06-30,119.630,119.630,119.630,119.630
1967-07-31,119.700,119.700,119.700,119.700
1967-08-31,119.750,119.750,119.750,119.750
1967-09-29,119.740,119.740,119.740,119.740
1967-10-31,119.730,119.730,119.730,119.730
1967-11-30,120.270,120.270,120.270,120.270
1967-12-29,121.790,121.790,121.790,121.790
1968-01-31,122.070,122.070,122.070,122.070
1968-02-29,122.080,122.080,122.080,122.080
1968-03-29,122.000,122.000,122.000,122.000
1968-04-30,122.010,122.010,122.010,122.010
1968-05-31,122.040,122.040,122.040,122.040
1968-06-28,122.220,122.220,122.220,122.220
1968-07-30,122.180,122.180,122.180,122.180
1968-08-30,122.180,122.180,122.180,122.180
1968-09-30,121.980,121.980,121.980,121.980
1968-10-31,122.030,122.030,122.030,122.030
1968-11-29,121.950,121.950,121.950,121.950
1968-12-31,121.960,121.960,121.960,121.960
1969-01-31,122.080,122.080,122.080,122.080
1969-02-28,122.190,122.190,122.190,122.190
1969-03-28,122.290,122.290,122.290,122.290
1969-04-30,122.260,122.260,122.260,122.260
1969-05-29,122.240,122.240,122.240,122.240
1969-06-30,122.340,122.340,122.340,122.340
1969-07-31,122.360,122.360,122.360,122.360
1969-08-29,123.460,123.460,123.460,123.460
1969-09-30,123.820,123.820,123.820,123.820
1969-10-31,122.180,122.180,122.180,122.180
1969-11-28,121.770,121.770,121.770,121.770
1969-12-31,121.740,121.740,121.740,121.740
1970-01-30,121.750,121.750,121.750,121.750
1970-02-27,121.720,121.720,121.720,121.720
1970-03-31,121.600,121.600,121.600,121.600
1970-04-30,121.360,121.360,121.360,121.360
1970-05-29,121.320,121.320,121.320,121.320
1970-06-30,120.980,120.980,120.980,120.980
1970-07-31,120.900,120.900,120.900,120.900
1970-08-31,120.700,120.700,120.700,120.700
1970-09-30,120.620,120.620,120.620,120.620
1970-10-30,120.640,120.640,120.640,120.640
1970-11-30,120.550,120.550,120.550,120.550
1970-12-31,120.640,120.640,120.640,120.640
1971-01-04,120.530,120.530,120.530,120.530
1971-01-05,120.520,120.520,120.520,120.520
1971-01-06,120.490,120.490,120.490,120.490
1971-01-07,120.550,120.550,120.550,120.550
1971-01-08,120.530,120.530,120.530,120.530
1971-01-11,120.530,120.530,120.530,120.530
1971-01-12,120.490,120.490,120.490,120.490
1971-01-13,120.470,120.470,120.470,120.470
1971-01-14,120.440,120.440,120.440,120.440
1971-01-15,120.440,120.440,120.440,120.440
1971-01-18,120.410,120.410,120.410,120.410
1971-01-19,120.370,120.370,120.370,120.370
1971-01-20,120.340,120.340,120.340,120.340
1971-01-21,120.330,120.330,120.330,120.330
1971-01-22,120.310,120.310,120.310,120.310
1971-01-25,120.270,120.270,120.270,120.270
1971-01-26,120.260,120.260,120.260,120.260
1971-01-27,120.250,120.250,120.250,120.250
1971-01-28,120.250,120.250,120.250,120.250
1971-01-29,120.240,120.240,120.240,120.240
1971-02-01,120.260,120.260,120.260,120.260
1971-02-02,120.280,120.280,120.280,120.280
1971-02-03,120.240,120.240,120.240,120.240
1971-02-04,120.240,120.240,120.240,120.240
1971-02-05,120.260,120.260,120.260,120.260
1971-02-08,120.260,120.260,120.260,120.260
1971-02-09,120.250,120.250,120.250,120.250
1971-02-10,120.280,120.280,120.280,120.280
1971-02-11,120.290,120.290,120.290,120.290
1971-02-16,120.220,120.220,120.220,120.220
1971-02-17,120.210,120.210,120.210,120.210
1971-02-18,120.210,120.210,120.210,120.210
1971-02-19,120.180,120.180,120.180,120.180
1971-02-22,120.140,120.140,120.140,120.140
1971-02-23,120.120,120.120,120.120,120.120
1971-02-24,120.180,120.180,120.180,120.180
1971-02-25,120.200,120.200,120.200,120.200
1971-02-26,120.260,120.260,120.260,120.260
1971-03-01,120.250,120.250,120.250,120.250
1971-03-02,120.210,120.210,120.210,120.210
1971-03-03,120.190,120.190,120.190,120.190
1971-03-04,120.200,120.200,120.200,120.200
1971-03-05,120.170,120.170,120.170,120.170
1971-03-08,120.130,120.130,120.130,120.130
1971-03-09,120.140,120.140,120.140,120.140
1971-03-10,120.140,120.140,120.140,120.140
1971-03-11,120.160,120.160,120.160,120.160
1971-03-12,120.180,120.180,120.180,120.180
1971-03-15,120.190,120.190,120.190,120.190
1971-03-16,120.190,120.190,120.190,120.190
