Date,Open,High,Low,Close
1975-02-13,0.8521,0.8535,0.8521,0.8535
1975-02-14,0.8521,0.8531,0.8515,0.8525
1975-02-18,0.8574,0.8574,0.8574,0.8574
1975-02-19,0.8515,0.8529,0.8515,0.8529
1975-02-20,0.858,0.861,0.858,0.861
1975-02-21,0.86,0.86,0.8572,0.8572
1975-02-24,0.8649,0.8669,0.8649,0.8669
1975-02-25,0.859,0.859,0.859,0.859
1975-02-26,0.8633,0.8688,0.8633,0.8688
1975-02-27,0.8728,0.8743,0.8698,0.8704
1975-02-28,0.8698,0.8724,0.869,0.8724
1975-03-03,0.8747,0.8747,0.8741,0.8741
1975-03-04,0.8643,0.8684,0.8643,0.8645
1975-03-05,0.8629,0.8678,0.8629,0.8678
1975-03-06,0.8655,0.8655,0.858,0.858
1975-03-07,0.8551,0.8551,0.8482,0.8482
1975-03-10,0.8433,0.8521,0.8433,0.8505
1975-03-11,0.859,0.859,0.858,0.8584
1975-03-12,0.8537,0.8616,0.8537,0.8608
1975-03-13,0.856,0.856,0.8559,0.8559
1975-03-14,0.8531,0.861,0.8531,0.861
1975-03-17,0.858,0.858,0.858,0.858
1975-03-18,0.8619,0.8619,0.8619,0.8619
1975-03-19,0.8669,0.8669,0.8659,0.8665
1975-03-20,0.8633,0.8633,0.8608,0.8608
1975-03-21,0.8578,0.8578,0.8578,0.8578
1975-03-24,0.8529,0.8537,0.8529,0.8537
1975-03-25,0.857,0.857,0.8511,0.8521
1975-03-26,0.8502,0.8502,0.8484,0.8492
1975-03-27,0.8443,0.8443,0.8443,0.8443
1975-03-31,0.8458,0.8458,0.845,0.845
1975-04-01,0.8472,0.8472,0.8472,0.8472
1975-04-02,0.8472,0.8472,0.8472,0.8472
1975-04-03,0.8454,0.8454,0.8448,0.8454
1975-04-04,0.8356,0.8384,0.8356,0.8384
1975-04-07,0.8403,0.8403,0.8403,0.8403
1975-04-08,0.8445,0.8445,0.8445,0.8445
1975-04-09,0.8445,0.8445,0.8386,0.8386
1975-04-10,0.8374,0.8374,0.8342,0.8374
1975-04-11,0.8354,0.8354,0.8354,0.8354
1975-04-14,0.8305,0.8305,0.8283,0.8283
1975-04-15,0.8334,0.8413,0.8334,0.8378
1975-04-16,0.8305,0.8305,0.8287,0.8297
1975-04-17,0.8331,0.8358,0.8319,0.8346
1975-04-18,0.8301,0.8325,0.8301,0.8325
1975-04-21,0.8315,0.8315,0.8268,0.8275
1975-04-22,0.8378,0.8378,0.8378,0.8378
1975-04-23,0.8378,0.8378,0.8378,0.8378
1975-04-24,0.8378,0.8378,0.8378,0.8378
1975-04-25,0.8378,0.8378,0.8378,0.8378
1975-04-28,0.8378,0.8378,0.8378,0.8378
1975-04-29,0.8403,0.8403,0.8403,0.8403
1975-04-30,0.8403,0.8403,0.8403,0.8403
1975-05-01,0.8393,0.8393,0.8374,0.8393
1975-05-02,0.8393,0.8393,0.8393,0.8393
1975-05-05,0.8393,0.8393,0.8393,0.8393
1975-05-06,0.8423,0.8423,0.8423,0.8423
1975-05-07,0.8452,0.8452,0.8452,0.8452
1975-05-08,0.8511,0.8511,0.8511,0.8511
1975-05-09,0.8502,0.8502,0.8502,0.8502
1975-05-12,0.8502,0.8502,0.8502,0.8502
1975-05-13,0.8619,0.8619,0.8619,0.8619
1975-05-14,0.858,0.858,0.858,0.858
1975-05-15,0.858,0.858,0.858,0.858
1975-05-16,0.858,0.858,0.858,0.858
1975-05-19,0.857,0.857,0.857,0.857
1975-05-20,0.8472,0.8472,0.8472,0.8472
1975-05-21,0.8541,0.8541,0.8541,0.8541
1975-05-22,0.859,0.859,0.859,0.859
1975-05-23,0.861,0.861,0.861,0.861
1975-05-27,0.861,0.861,0.861,0.861
1975-05-28,0.8551,0.8551,0.8551,0.8551
1975-05-29,0.8551,0.8551,0.8551,0.8551
1975-05-30,0.8551,0.8551,0.8551,0.8551
1975-06-02,0.8551,0.8551,0.8551,0.8551
1975-06-03,0.8551,0.8551,0.8551,0.8551
1975-06-04,0.8551,0.8551,0.8551,0.8551
1975-06-05,0.8551,0.8551,0.8551,0.8551
1975-06-06,0.8511,0.8511,0.8511,0.8511
1975-06-09,0.8511,0.8511,0.8511,0.8511
1975-06-10,0.8511,0.8511,0.8511,0.8511
1975-06-11,0.8511,0.8511,0.8511,0.8511
1975-06-12,0.8511,0.8511,0.8511,0.8511
1975-06-13,0.8511,0.8511,0.8511,0.8511
1975-06-16,0.8531,0.8531,0.8531,0.8531
1975-06-17,0.8535,0.8535,0.8535,0.8535
1975-06-18,0.8527,0.8527,0.8513,0.8515
1975-06-19,0.8515,0.8515,0.8515,0.8515
1975-06-20,0.8515,0.8515,0.8515,0.8515
1975-06-23,0.8511,0.8511,0.8511,0.8511
1975-06-24,0.8511,0.8511,0.8511,0.8511
1975-06-25,0.8511,0.8511,0.8511,0.8511
1975-06-26,0.8511,0.8511,0.8511,0.8511
1975-06-27,0.8502,0.8502,0.8502,0.8502
1975-06-30,0.8413,0.8413,0.8395,0.8395
1975-07-01,0.8413,0.8413,0.8413,0.8413
1975-07-02,0.8325,0.8325,0.8325,0.8325
1975-07-03,0.8315,0.8325,0.8315,0.8325
1975-07-07,0.8252,0.8254,0.824,0.825
1975-07-08,0.8344,0.8344,0.8344,0.8344
1975-07-09,0.8291,0.8291,0.8226,0.8228
1975-07-10,0.8197,0.8213,0.8187,0.8195
1975-07-11,0.8154,0.8158,0.8146,0.8148
1975-07-14,0.811,0.8138,0.811,0.8138
1975-07-15,0.8148,0.8148,0.8045,0.8053
1975-07-16,0.8016,0.8059,0.7994,0.8059
1975-07-17,0.7941,0.7973,0.7941,0.7955
1975-07-18,0.7941,0.7941,0.7918,0.793
1975-07-21,0.7912,0.7933,0.7906,0.7922
1975-07-22,0.7931,0.7937,0.7855,0.7855
1975-07-23,0.7833,0.7865,0.7833,0.7849
1975-07-24,0.7804,0.7867,0.7804,0.7861
1975-07-25,0.7892,0.7916,0.7869,0.7908
1975-07-28,0.7843,0.7845,0.779,0.779
1975-07-29,0.776,0.7796,0.7755,0.7786
1975-07-30,0.7735,0.7741,0.7715,0.7735
1975-07-31,0.7719,0.7757,0.7715,0.7753
1975-08-01,0.7739,0.7741,0.7715,0.7739
1975-08-04,0.7739,0.778,0.7731,0.7772
1975-08-05,0.78,0.7817,0.7784,0.7816
1975-08-06,0.7755,0.7764,0.7719,0.7723
1975-08-07,0.7735,0.7764,0.7721,0.7764
1975-08-08,0.7727,0.7782,0.7727,0.7782
1975-08-11,0.7755,0.7755,0.7755,0.7755
1975-08-12,0.7735,0.7735,0.7735,0.7735
1975-08-13,0.7774,0.7774,0.7774,0.7774
1975-08-14,0.776,0.7814,0.7745,0.7814
1975-08-15,0.7745,0.7745,0.7725,0.7735
1975-08-18,0.7847,0.7847,0.7847,0.7847
1975-08-19,0.7882,0.7892,0.7882,0.7886
1975-08-20,0.7863,0.7863,0.7861,0.7863
1975-08-21,0.7863,0.7863,0.7863,0.7863
1975-08-22,0.7863,0.7863,0.7863,0.7863
1975-08-25,0.7745,0.7755,0.7745,0.7745
1975-08-26,0.7784,0.7784,0.7784,0.7784
1975-08-27,0.7749,0.7749,0.7749,0.7749
1975-08-28,0.7749,0.7749,0.7749,0.7749
1975-08-29,0.7735,0.7737,0.7735,0.7737
1975-09-02,0.7741,0.7755,0.7741,0.7755
1975-09-03,0.7774,0.7774,0.7774,0.7774
1975-09-04,0.7755,0.7755,0.7753,0.7753
1975-09-05,0.7753,0.7753,0.7753,0.7753
1975-09-08,0.7753,0.7753,0.7753,0.7753
1975-09-09,0.7721,0.7725,0.7721,0.7725
1975-09-10,0.7666,0.7668,0.7643,0.7646
1975-09-11,0.765,0.767,0.7635,0.7666
1975-09-12,0.7637,0.7637,0.7609,0.7621
1975-09-15,0.7619,0.7629,0.7605,0.7607
1975-09-16,0.7587,0.7591,0.7552,0.7562
1975-09-17,0.7558,0.7558,0.7529,0.7546
1975-09-18,0.7499,0.7548,0.7499,0.7542
1975-09-19,0.7521,0.753,0.7505,0.7521
1975-09-22,0.746,0.746,0.745,0.7454
1975-09-23,0.7391,0.7432,0.7391,0.7424
1975-09-24,0.7401,0.747,0.7401,0.7464
1975-09-25,0.745,0.7495,0.745,0.747
1975-09-26,0.746,0.746,0.7416,0.7416
1975-09-29,0.7405,0.743,0.7395,0.743
1975-09-30,0.747,0.7485,0.7468,0.747
1975-10-01,0.7564,0.7587,0.7552,0.7587
1975-10-02,0.7587,0.7617,0.754,0.755
1975-10-03,0.7509,0.7548,0.7509,0.754
1975-10-06,0.7654,0.7658,0.765,0.7652
1975-10-07,0.7731,0.7731,0.7662,0.7662
1975-10-08,0.7607,0.7609,0.7587,0.7603
1975-10-09,0.769,0.7713,0.769,0.7709
1975-10-10,0.7676,0.7713,0.7672,0.7707
1975-10-13,0.7786,0.7792,0.7786,0.7788
