Date,Open,High,Low,Close
2008-03-04,1332.5,1337.5,1307,1327
2008-03-05,1328,1345,1320.25,1335.5
2008-03-06,1335.75,1343,1302.25,1308
2008-03-07,1307,1318.5,1282.25,1292.75
2008-03-10,1292,1299.5,1272.5,1275.5
2008-03-11,1276.5,1324.25,1272.25,1324
2008-03-12,1323,1334.25,1308,1309.5
2008-03-13,1310,1322.5,1282,1313.25
2008-03-14,1312.75,1333.75,1274.25,1291.5
2008-03-17,1289.5,1314,1253,1279.5
2008-03-18,1281.5,1334.5,1278.75,1334
2008-03-19,1333,1343.75,1296.75,1299.5
2008-03-20,1300.25,1332.5,1286.5,1324.75
2008-03-24,1326.25,1361.5,1325.25,1351.5
2008-03-25,1351.5,1359.5,1342,1351.5
2008-03-26,1351.25,1351.75,1334,1335.5
2008-03-27,1335,1348,1326.5,1329.75
2008-03-28,1330.25,1340.5,1313.75,1319
2008-03-31,1319,1330.5,1309.5,1324
2008-04-01,1321.25,1372.5,1315.75,1370.5
2008-04-02,1370.25,1380,1363,1371
2008-04-03,1370,1377.75,1359.5,1373.5
2008-04-04,1373.5,1388,1364.25,1372
2008-04-07,1372.5,1389,1369.75,1372.25
2008-04-08,1371.25,1372.25,1362.25,1371
2008-04-09,1370.75,1377.5,1351.25,1360.25
2008-04-10,1359.25,1369.25,1351.25,1362.75
2008-04-11,1362.5,1369,1331.75,1335.5
2008-04-14,1335.25,1337.25,1325.75,1331.25
2008-04-15,1331,1338.75,1325,1336
2008-04-16,1342.75,1371.5,1337.25,1371
2008-04-17,1371,1374.5,1358.5,1372.25
2008-04-18,1374.5,1398.25,1370,1388
2008-04-21,1389,1394,1380.75,1388.25
2008-04-22,1387.25,1390.75,1370.75,1380.75
2008-04-23,1380.5,1389.75,1372.75,1378.5
2008-04-24,1379.75,1399.25,1368,1386
2008-04-25,1386.5,1400.75,1380.5,1397
2008-04-28,1398.75,1404.75,1393.5,1397.5
2008-04-29,1397.25,1399,1387,1391.25
2008-04-30,1388,1407,1383.5,1386
2008-05-01,1383,1412.25,1382.25,1411.5
2008-05-02,1411.25,1427,1406,1415.75
2008-05-05,1413.5,1417.25,1400.75,1408.25
2008-05-06,1409,1422.25,1397,1420.75
2008-05-07,1421.25,1424,1390.5,1395.25
2008-05-08,1394,1403,1389.25,1392
2008-05-09,1391.25,1393.25,1381.75,1389
2008-05-12,1387.5,1405,1386.25,1404.75
2008-05-13,1403.5,1410.75,1396.5,1404.75
2008-05-14,1404,1421.5,1398.75,1407.75
2008-05-15,1407.5,1425.5,1405,1424.5
2008-05-16,1424.25,1429.5,1414.75,1425.75
2008-05-19,1425.25,1441,1421.75,1429.75
2008-05-20,1428.75,1429.25,1409,1415.75
2008-05-21,1417,1421,1388,1393
2008-05-22,1393,1399.75,1390.25,1393.25
2008-05-23,1393.75,1395,1372.75,1373.5
2008-05-27,1374.25,1387.75,1370.5,1385
2008-05-28,1385,1393.25,1377.75,1389
2008-05-29,1390,1407,1386.75,1398.75
2008-05-30,1397.75,1405,1395,1400.5
2008-06-02,1400.75,1401,1377.5,1385.5
2008-06-03,1385.75,1393.5,1369.25,1378.5
2008-06-04,1378.25,1388.5,1371,1377.5
2008-06-05,1376.75,1405.75,1375.5,1405
2008-06-06,1404.5,1411,1358.5,1359.5
2008-06-09,1358.75,1371.5,1350.5,1361.75
2008-06-10,1362,1367.25,1347.25,1355.25
2008-06-11,1356.25,1363.5,1334.5,1334.5
2008-06-12,1335.25,1353.5,1331,1341.75
2008-06-13,1340.75,1361.5,1337,1357.5
2008-06-16,1359,1367.5,1351.5,1359.5
2008-06-17,1360.25,1372,1351.25,1352.25
2008-06-18,1352.75,1355.5,1334.5,1337.75
2008-06-19,1338.75,1349.75,1332.25,1341.25
2008-06-20,1342.5,1343.5,1315.25,1319
2008-06-23,1320.75,1327.75,1316.25,1317
2008-06-24,1317.75,1328,1305.25,1316
2008-06-25,1315,1337.75,1314.5,1317.25
2008-06-26,1322.25,1322.25,1283,1285.75
2008-06-27,1285,1291.75,1272.75,1280
2008-06-30,1281.75,1292,1275.25,1282.75
2008-07-01,1283,1286.75,1261,1286.25
2008-07-02,1286.25,1294.75,1261,1263.25
2008-07-03,1263.5,1273.75,1251.75,1267.5
2008-07-07,1258.5,1275,1240.75,1253.25
2008-07-08,1252,1275.75,1236.5,1275
2008-07-09,1274.5,1278.75,1244.75,1245.5
2008-07-10,1249,1259.25,1237,1255.75
2008-07-11,1254.75,1261.75,1225.5,1239.75
2008-07-14,1240,1260.5,1224.75,1228.25
2008-07-15,1229,1235.75,1200.75,1211.5
2008-07-16,1212.75,1246.25,1202.5,1241
2008-07-17,1240,1263,1238,1245.25
2008-07-18,1250.25,1263,1241,1260.5
2008-07-21,1259.25,1269,1255,1263.25
2008-07-22,1258,1278,1247.25,1273.5
2008-07-23,1275,1291.25,1272.75,1282.25
2008-07-24,1281.25,1285,1251,1253.75
2008-07-25,1253.25,1262.75,1249.25,1253.75
2008-07-28,1255.25,1260,1233,1234.5
