Date,Open,High,Low,Close
1969-06-02,42.90,42.90,42.90,42.90
1969-06-03,42.50,42.50,42.50,42.50
1969-06-04,42.30,42.30,42.30,42.30
1969-06-05,41.80,41.80,41.80,41.80
1969-06-06,40.90,40.90,40.90,40.90
1969-06-09,41.50,41.50,41.50,41.50
1969-06-10,42.50,42.50,42.50,42.50
1969-06-11,41.60,41.60,41.60,41.60
1969-06-12,41.70,41.70,41.70,41.70
1969-06-13,41.80,41.80,41.80,41.80
1969-06-16,40.80,40.80,40.80,40.80
1969-06-17,41.70,41.70,41.70,41.70
1969-06-18,41.60,41.60,41.60,41.60
1969-06-19,41.60,41.60,41.60,41.60
1969-06-20,41.50,41.50,41.50,41.50
1969-06-23,41.50,41.50,41.50,41.50
1969-06-24,41.20,41.20,41.20,41.20
1969-06-25,41.10,41.10,41.10,41.10
1969-06-26,41.20,41.20,41.20,41.20
1969-06-27,41.30,41.30,41.30,41.30
1969-06-30,41.40,41.40,41.40,41.40
1969-07-01,41.40,41.40,41.40,41.40
1969-07-02,41.40,41.40,41.40,41.40
1969-07-03,41.80,41.80,41.80,41.80
1969-07-07,42.00,42.00,42.00,42.00
1969-07-08,42.30,42.30,42.30,42.30
1969-07-09,42.00,42.00,42.00,42.00
1969-07-10,42.10,42.10,42.10,42.10
1969-07-11,42.10,42.10,42.10,42.10
1969-07-14,42.20,42.20,42.20,42.20
1969-07-15,42.20,42.20,42.20,42.20
1969-07-16,42.00,42.00,42.00,42.00
1969-07-17,42.20,42.20,42.20,42.20
1969-07-18,42.20,42.20,42.20,42.20
1969-07-22,42.10,42.10,42.10,42.10
1969-07-23,42.00,42.00,42.00,42.00
1969-07-24,42.10,42.10,42.10,42.10
1969-07-25,42.10,42.10,42.10,42.10
1969-07-28,42.00,42.00,42.00,42.00
1969-07-29,41.70,41.70,41.70,41.70
1969-07-30,41.70,41.70,41.70,41.70
1969-07-31,41.60,41.60,41.60,41.60
1969-08-01,41.60,41.60,41.60,41.60
1969-08-04,41.50,41.50,41.50,41.50
1969-08-05,41.30,41.30,41.30,41.30
1969-08-06,41.20,41.20,41.20,41.20
1969-08-07,41.30,41.30,41.30,41.30
1969-08-08,41.30,41.30,41.30,41.30
1969-08-11,41.40,41.40,41.40,41.40
1969-08-12,41.30,41.30,41.30,41.30
1969-08-13,41.40,41.40,41.40,41.40
1969-08-14,41.40,41.40,41.40,41.40
1969-08-15,41.10,41.10,41.10,41.10
1969-08-18,41.40,41.40,41.40,41.40
1969-08-19,41.10,41.10,41.10,41.10
1969-08-20,41.30,41.30,41.30,41.30
1969-08-21,41.30,41.30,41.30,41.30
1969-08-22,41.30,41.30,41.30,41.30
1969-08-25,41.10,41.10,41.10,41.10
1969-08-26,41.10,41.10,41.10,41.10
1969-08-27,41.20,41.20,41.20,41.20
1969-08-28,40.90,40.90,40.90,40.90
1969-08-29,41.10,41.10,41.10,41.10
1969-09-02,40.90,40.90,40.90,40.90
1969-09-03,41.00,41.00,41.00,41.00
1969-09-04,41.10,41.10,41.10,41.10
1969-09-05,41.10,41.10,41.10,41.10
1969-09-08,41.10,41.10,41.10,41.10
1969-09-09,41.20,41.20,41.20,41.20
1969-09-10,41.10,41.10,41.10,41.10
1969-09-11,41.10,41.10,41.10,41.10
1969-09-12,41.30,41.30,41.30,41.30
1969-09-15,41.20,41.20,41.20,41.20
1969-09-16,41.20,41.20,41.20,41.20
1969-09-17,41.20,41.20,41.20,41.20
1969-09-18,41.10,41.10,41.10,41.10
1969-09-19,41.10,41.10,41.10,41.10
1969-09-22,41.10,41.10,41.10,41.10
1969-09-23,41.10,41.10,41.10,41.10
1969-09-24,41.00,41.00,41.00,41.00
1969-09-25,41.00,41.00,41.00,41.00
1969-09-26,41.00,41.00,41.00,41.00
1969-09-29,40.90,40.90,40.90,40.90
1969-09-30,40.90,40.90,40.90,40.90
1969-10-01,41.00,41.00,41.00,41.00
1969-10-02,41.10,41.10,41.10,41.10
1969-10-03,41.20,41.20,41.20,41.20
1969-10-06,41.00,41.00,41.00,41.00
1969-10-07,41.00,41.00,41.00,41.00
1969-10-08,40.90,40.90,40.90,40.90
1969-10-09,41.00,41.00,41.00,41.00
1969-10-10,40.90,40.90,40.90,40.90
1969-10-13,40.80,40.80,40.80,40.80
1969-10-14,40.90,40.90,40.90,40.90
1969-10-15,40.90,40.90,40.90,40.90
1969-10-16,40.80,40.80,40.80,40.80
1969-10-17,40.80,40.80,40.80,40.80
1969-10-20,40.60,40.60,40.60,40.60
1969-10-21,40.50,40.50,40.50,40.50
1969-10-22,40.30,40.30,40.30,40.30
1969-10-23,40.20,40.20,40.20,40.20
1969-10-24,40.30,40.30,40.30,40.30
1969-10-27,40.40,40.40,40.40,40.40
1969-10-28,40.30,40.30,40.30,40.30
1969-10-29,40.20,40.20,40.20,40.20
1969-10-30,40.10,40.10,40.10,40.10
1969-10-31,40.00,40.00,40.00,40.00
1969-11-03,39.80,39.80,39.80,39.80
1969-11-04,39.80,39.80,39.80,39.80
1969-11-05,39.60,39.60,39.60,39.60
1969-11-06,39.20,39.20,39.20,39.20
1969-11-07,38.70,38.70,38.70,38.70
1969-11-10,38.30,38.30,38.30,38.30
1969-11-11,38.50,38.50,38.50,38.50
1969-11-12,38.00,38.00,38.00,38.00
1969-11-13,38.00,38.00,38.00,38.00
1969-11-14,38.10,38.10,38.10,38.10
1969-11-17,38.00,38.00,38.00,38.00
1969-11-18,37.80,37.80,37.80,37.80
1969-11-19,36.80,36.80,36.80,36.80
1969-11-20,36.50,36.50,36.50,36.50
1969-11-21,36.30,36.30,36.30,36.30
1969-11-24,35.70,35.70,35.70,35.70
1969-11-25,35.70,35.70,35.70,35.70
1969-11-26,35.80,35.80,35.80,35.80
1969-11-28,35.90,35.90,35.90,35.90
1969-12-01,35.70,35.70,35.70,35.70
1969-12-02,35.50,35.50,35.50,35.50
1969-12-03,35.60,35.60,35.60,35.60
1969-12-04,35.40,35.40,35.40,35.40
1969-12-05,35.40,35.40,35.40,35.40
1969-12-08,35.20,35.20,35.20,35.20
1969-12-09,35.20,35.20,35.20,35.20
1969-12-10,35.20,35.20,35.20,35.20
1969-12-11,35.40,35.40,35.40,35.40
1969-12-12,35.50,35.50,35.50,35.50
1969-12-15,35.30,35.30,35.30,35.30
1969-12-16,35.20,35.20,35.20,35.20
1969-12-17,35.30,35.30,35.30,35.30
1969-12-18,35.20,35.20,35.20,35.20
1969-12-19,35.20,35.20,35.20,35.20
1969-12-22,35.30,35.30,35.30,35.30
1969-12-23,35.30,35.30,35.30,35.30
1969-12-24,35.40,35.40,35.40,35.40
1969-12-29,35.40,35.40,35.40,35.40
1969-12-30,35.40,35.40,35.40,35.40
1969-12-31,35.40,35.40,35.40,35.40
1970-01-05,35.40,35.40,35.40,35.40
1970-01-06,35.20,35.20,35.20,35.20
1970-01-07,35.20,35.20,35.20,35.20
1970-01-08,35.10,35.10,35.10,35.10
1970-01-09,35.10,35.10,35.10,35.10
1970-01-12,35.10,35.10,35.10,35.10
1970-01-13,35.10,35.10,35.10,35.10
1970-01-14,35.10,35.10,35.10,35.10
1970-01-15,35.00,35.00,35.00,35.00
1970-01-16,34.90,34.90,34.90,34.90
1970-01-19,34.90,34.90,34.90,34.90
1970-01-20,35.00,35.00,35.00,35.00
1970-01-21,35.00,35.00,35.00,35.00
1970-01-22,35.20,35.20,35.20,35.20
1970-01-23,35.20,35.20,35.20,35.20
1970-01-26,35.10,35.10,35.10,35.10
1970-01-27,35.20,35.20,35.20,35.20
