Date,Open,High,Low,Close
1964-11-30,24.000,24.000,23.500,23.675
1964-12-01,23.700,23.700,23.350,23.500
1964-12-02,23.550,23.550,23.400,23.425
1964-12-03,23.450,23.500,23.300,23.450
1964-12-04,23.425,23.450,23.400,23.400
1964-12-07,23.400,23.400,23.300,23.325
1964-12-08,23.250,23.250,23.050,23.075
1964-12-09,23.075,23.075,22.975,23.000
1964-12-10,22.950,22.975,22.825,22.950
1964-12-11,23.000,23.175,22.950,23.000
1964-12-14,23.025,23.175,23.000,23.175
1964-12-15,23.075,23.200,23.000,23.150
1964-12-16,23.150,23.150,22.950,23.000
1964-12-17,22.950,23.125,22.950,23.000
1964-12-18,23.000,23.125,23.000,23.100
1964-12-21,23.200,23.475,23.175,23.350
1964-12-22,23.300,23.400,23.200,23.350
1964-12-23,23.400,23.500,23.400,23.450
1964-12-24,23.450,23.550,23.450,23.550
1964-12-28,23.475,23.500,23.350,23.500
1964-12-29,23.500,23.500,23.325,23.325
1964-12-30,23.375,23.400,23.300,23.325
1964-12-31,23.350,23.450,23.350,23.450
1965-01-04,23.450,23.500,23.450,23.450
1965-01-05,23.500,23.500,23.450,23.450
1965-01-06,23.400,23.475,23.400,23.450
1965-01-07,23.450,23.450,23.400,23.400
1965-01-08,23.450,23.450,23.300,23.450
1965-01-11,23.425,23.450,23.350,23.350
1965-01-12,23.350,23.375,23.325,23.375
1965-01-13,23.400,23.400,23.300,23.300
1965-01-14,23.350,23.350,23.300,23.325
1965-01-15,23.350,23.450,23.300,23.450
1965-01-18,23.500,23.600,23.475,23.550
1965-01-19,23.550,23.550,23.500,23.500
1965-01-20,23.400,23.450,23.400,23.400
1965-01-21,23.400,23.450,23.400,23.400
1965-01-22,23.450,23.475,23.400,23.450
1965-01-25,23.500,23.500,23.450,23.450
1965-01-26,23.450,23.500,23.400,23.475
1965-01-27,23.450,23.450,23.400,23.400
1965-01-28,23.400,23.400,23.300,23.300
1965-01-29,23.300,23.400,23.200,23.400
1965-02-01,23.300,23.400,23.300,23.400
1965-02-02,23.450,23.750,23.450,23.600
1965-02-03,23.500,23.750,23.500,23.600
1965-02-04,23.650,23.650,23.550,23.550
1965-02-05,23.650,23.650,23.550,23.575
1965-02-08,23.650,23.875,23.650,23.725
1965-02-09,23.725,23.725,23.650,23.675
1965-02-10,23.725,23.750,23.675,23.725
1965-02-11,23.750,23.800,23.750,23.775
1965-02-12,23.800,23.850,23.650,23.850
1965-02-15,23.850,23.900,23.800,23.900
1965-02-16,23.850,23.900,23.850,23.850
1965-02-17,23.800,23.800,23.500,23.525
1965-02-18,23.500,23.725,23.500,23.650
1965-02-19,23.600,23.800,23.600,23.750
1965-02-23,23.800,23.900,23.800,23.850
1965-02-24,23.900,24.000,23.900,23.950
1965-02-25,23.900,24.000,23.900,23.925
1965-02-26,23.875,23.875,23.850,23.875
1965-03-01,23.850,23.850,23.825,23.850
1965-03-02,23.850,23.850,23.750,23.750
1965-03-03,23.700,23.775,23.700,23.750
1965-03-04,23.750,23.750,23.650,23.675
1965-03-05,23.650,23.650,23.475,23.575
1965-03-08,23.600,23.700,23.600,23.600
1965-03-09,23.600,23.600,23.550,23.600
1965-03-10,23.500,23.650,23.500,23.575
1965-03-11,23.525,23.550,23.500,23.550
1965-03-12,23.550,23.700,23.550,23.700
1965-03-15,23.750,23.925,23.750,23.875
1965-03-16,23.875,23.975,23.800,23.900
1965-03-17,23.950,24.175,23.950,24.175
1965-03-18,24.125,24.250,24.125,24.175
1965-03-19,24.150,24.175,24.100,24.100
1965-03-22,24.225,24.425,24.225,24.400
1965-03-23,24.500,24.550,24.450,24.550
1965-03-24,24.600,25.100,24.600,25.100
1965-03-25,25.200,25.400,24.750,24.750
1965-03-26,24.750,25.200,24.750,24.940
1965-03-29,25.075,25.200,25.000,25.050
1965-03-30,25.050,25.100,24.950,25.100
1965-03-31,25.100,25.100,24.950,25.000
