Date,Open,High,Low,Close
1930-12-31,0.080,0.080,0.080,0.080
1931-12-31,0.070,0.070,0.070,0.070
1932-12-30,0.060,0.060,0.060,0.060
1933-12-29,0.060,0.060,0.060,0.060
1934-12-31,0.060,0.060,0.060,0.060
1935-12-31,0.060,0.060,0.060,0.060
1936-12-31,0.060,0.060,0.060,0.060
1937-12-31,0.050,0.050,0.050,0.050
1938-12-30,0.050,0.050,0.050,0.050
1939-12-29,0.050,0.050,0.050,0.050
1940-12-31,0.050,0.050,0.050,0.050
1941-12-31,0.050,0.050,0.050,0.050
1942-12-31,0.050,0.050,0.050,0.050
1943-12-31,0.050,0.050,0.050,0.050
1944-12-29,0.050,0.050,0.050,0.050
1945-12-31,0.050,0.050,0.050,0.050
1946-12-31,0.050,0.050,0.050,0.050
1947-12-31,0.060,0.060,0.060,0.060
1948-12-31,0.060,0.060,0.060,0.060
1949-12-30,0.060,0.060,0.060,0.060
1950-12-29,0.070,0.070,0.070,0.070
1951-12-31,0.070,0.070,0.070,0.070
1952-12-31,0.080,0.080,0.080,0.080
1953-12-31,0.090,0.090,0.090,0.090
1954-12-31,0.100,0.100,0.100,0.100
1955-12-30,0.100,0.100,0.100,0.100
1956-12-31,0.110,0.110,0.110,0.110
1957-12-31,0.110,0.110,0.110,0.110
1958-12-31,0.120,0.120,0.120,0.120
1959-12-31,0.130,0.130,0.130,0.130
1960-12-30,0.140,0.140,0.140,0.140
1961-12-29,0.150,0.150,0.150,0.150
1962-12-31,0.160,0.160,0.160,0.160
1963-12-31,0.160,0.160,0.160,0.160
1964-12-31,0.150,0.150,0.150,0.150
1965-12-31,0.160,0.160,0.160,0.160
1966-12-30,0.160,0.160,0.160,0.160
1967-12-29,0.160,0.160,0.160,0.160
1968-12-31,0.160,0.160,0.160,0.160
1969-12-31,0.170,0.170,0.170,0.170
1970-12-31,0.170,0.170,0.170,0.170
1971-12-31,0.180,0.180,0.180,0.180
1972-12-29,0.190,0.190,0.190,0.190
1973-12-31,0.220,0.220,0.220,0.220
1974-12-31,0.300,0.300,0.300,0.300
1975-12-31,0.440,0.440,0.440,0.440
1976-01-30,0.540,0.540,0.540,0.540
1976-02-27,0.540,0.540,0.540,0.540
1976-03-31,0.540,0.540,0.540,0.540
1976-04-30,0.550,0.550,0.550,0.550
1976-05-28,0.550,0.550,0.550,0.550
1976-06-30,0.580,0.580,0.580,0.580
1976-07-30,0.580,0.580,0.580,0.580
1976-08-31,0.600,0.600,0.600,0.600
1976-09-30,0.600,0.600,0.600,0.600
1976-10-29,0.620,0.620,0.620,0.620
1976-11-30,0.630,0.630,0.630,0.630
1976-12-31,0.640,0.640,0.640,0.640
1977-01-31,0.670,0.670,0.670,0.670
1977-02-28,0.710,0.710,0.710,0.710
1977-03-31,0.750,0.750,0.750,0.750
1977-04-29,0.770,0.770,0.770,0.770
1977-05-31,0.770,0.770,0.770,0.770
1977-06-30,0.820,0.820,0.820,0.820
1977-07-29,0.830,0.830,0.830,0.830
1977-08-31,0.820,0.820,0.820,0.820
1977-09-30,0.830,0.830,0.830,0.830
1977-10-31,0.840,0.840,0.840,0.840
1977-11-30,0.830,0.830,0.830,0.830
1977-12-30,0.840,0.840,0.840,0.840
1978-01-31,0.870,0.870,0.870,0.870
1978-02-28,0.890,0.890,0.890,0.890
1978-03-31,0.890,0.890,0.890,0.890
1978-04-28,0.880,0.880,0.880,0.880
1978-05-31,0.910,0.910,0.910,0.910
1978-06-30,0.910,0.910,0.910,0.910
1978-07-31,0.890,0.890,0.890,0.890
1978-08-31,0.910,0.910,0.910,0.910
1978-09-29,0.920,0.920,0.920,0.920
1978-10-31,0.920,0.920,0.920,0.920
1978-11-30,0.930,0.930,0.930,0.930
1978-12-29,0.960,0.960,0.960,0.960
1979-01-31,1.020,1.020,1.020,1.020
1979-02-28,1.050,1.050,1.050,1.050
1979-03-30,1.100,1.100,1.100,1.100
1979-04-30,1.110,1.110,1.110,1.110
1979-05-31,1.150,1.150,1.150,1.150
1979-06-29,1.170,1.170,1.170,1.170
1979-07-31,1.200,1.200,1.200,1.200
1979-08-31,1.240,1.240,1.240,1.240
1979-09-28,1.240,1.240,1.240,1.240
1979-10-31,1.280,1.280,1.280,1.280
1979-11-30,1.290,1.290,1.290,1.290
1979-12-31,1.310,1.310,1.310,1.310
1980-01-31,1.370,1.370,1.370,1.370
1980-02-29,1.420,1.420,1.420,1.420
1980-03-31,1.460,1.460,1.460,1.460
1980-04-30,1.510,1.510,1.510,1.510
1980-05-30,1.560,1.560,1.560,1.560
1980-06-30,1.570,1.570,1.570,1.570
1980-07-31,1.640,1.640,1.640,1.640
1980-08-29,1.640,1.640,1.640,1.640
1980-09-30,1.690,1.690,1.690,1.690
1980-10-31,1.710,1.710,1.710,1.710
1980-11-28,1.760,1.760,1.760,1.760
1980-12-31,1.740,1.740,1.740,1.740
1981-01-30,1.770,1.770,1.770,1.770
1981-02-27,1.810,1.810,1.810,1.810
1981-03-31,1.860,1.860,1.860,1.860
1981-04-30,1.930,1.930,1.930,1.930
1981-05-29,1.950,1.950,1.950,1.950
1981-06-30,1.950,1.950,1.950,1.950
1981-07-31,2.010,2.010,2.010,2.010
1981-08-31,2.020,2.020,2.020,2.020
1981-09-30,2.080,2.080,2.080,2.080
1981-10-30,2.110,2.110,2.110,2.110
1981-11-30,2.150,2.150,2.150,2.150
1981-12-31,2.160,2.160,2.160,2.160
1982-01-29,2.230,2.230,2.230,2.230
1982-02-26,2.300,2.300,2.300,2.300
1982-03-31,2.350,2.350,2.350,2.350
1982-04-30,2.400,2.400,2.400,2.400
1982-05-28,2.450,2.450,2.450,2.450
1982-06-30,2.450,2.450,2.450,2.450
1982-07-30,2.470,2.470,2.470,2.470
1982-08-31,2.530,2.530,2.530,2.530
1982-09-30,2.560,2.560,2.560,2.560
1982-10-29,2.600,2.600,2.600,2.600
1982-11-30,2.620,2.620,2.620,2.620
1982-12-31,2.620,2.620,2.620,2.620
1983-01-31,2.660,2.660,2.660,2.660
1983-02-28,2.660,2.660,2.660,2.660
1983-03-31,2.680,2.680,2.680,2.680
1983-04-29,2.530,2.530,2.530,2.530
1983-05-31,2.530,2.530,2.530,2.530
1983-06-30,2.590,2.590,2.590,2.590
1983-07-29,2.520,2.520,2.520,2.520
1983-08-31,2.580,2.580,2.580,2.580
1983-09-30,2.670,2.670,2.670,2.670
1983-10-31,2.580,2.580,2.580,2.580
1983-11-30,2.600,2.600,2.600,2.600
1983-12-30,2.610,2.610,2.610,2.610
1984-01-31,2.870,2.870,2.870,2.870
1984-02-29,2.710,2.710,2.710,2.710
1984-03-30,2.670,2.670,2.670,2.670
1984-04-30,2.640,2.640,2.640,2.640
1984-05-31,2.670,2.670,2.670,2.670
1984-06-29,2.700,2.700,2.700,2.700
1984-07-31,2.680,2.680,2.680,2.680
1984-08-31,2.690,2.690,2.690,2.690
1984-09-28,2.620,2.620,2.620,2.620
1984-10-31,2.630,2.630,2.630,2.630
1984-11-30,2.610,2.610,2.610,2.610
1984-12-31,2.670,2.670,2.670,2.670
1985-01-31,2.640,2.640,2.640,2.640
1985-02-28,2.710,2.710,2.710,2.710
1985-03-29,2.620,2.620,2.620,2.620
1985-04-30,2.640,2.640,2.640,2.640
1985-05-31,2.500,2.500,2.500,2.500
1985-06-28,2.580,2.580,2.580,2.580
1985-07-31,2.510,2.510,2.510,2.510
1985-08-30,2.470,2.470,2.470,2.470
1985-09-30,2.420,2.420,2.420,2.420
1985-10-31,2.370,2.370,2.370,2.370
1985-11-29,2.360,2.360,2.360,2.360
1985-12-31,2.260,2.260,2.260,2.260
1986-01-31,2.260,2.260,2.260,2.260
1986-02-28,2.260,2.260,2.260,2.260
1986-03-31,2.160,2.160,2.160,2.160
1986-04-30,2.100,2.100,2.100,2.100
1986-05-30,1.960,1.960,1.960,1.960
1986-06-30,1.850,1.850,1.850,1.850
1986-07-31,1.800,1.800,1.800,1.800
1986-08-29,1.770,1.770,1.770,1.770
1986-09-30,1.780,1.780,1.780,1.780
1986-10-31,1.730,1.730,1.730,1.730
1986-11-28,1.770,1.770,1.770,1.770
1986-12-31,1.760,1.760,1.760,1.760
1987-01-30,1.740,1.740,1.740,1.740
1987-02-27,1.730,1.730,1.730,1.730
1987-03-31,1.730,1.730,1.730,1.730
1987-04-30,1.690,1.690,1.690,1.690
1987-05-29,1.650,1.650,1.650,1.650
1987-06-30,1.650,1.650,1.650,1.650
1987-07-31,1.660,1.660,1.660,1.660
1987-08-31,1.630,1.630,1.630,1.630
1987-09-30,1.560,1.560,1.560,1.560
1987-10-30,1.570,1.570,1.570,1.570
1987-11-30,1.640,1.640,1.640,1.640
1987-12-31,1.700,1.700,1.700,1.700
1988-01-29,1.960,1.960,1.960,1.960
1988-02-29,1.640,1.640,1.640,1.640
1988-03-31,1.700,1.700,1.700,1.700
1988-04-29,1.590,1.590,1.590,1.590
1988-05-31,1.520,1.520,1.520,1.520
1988-06-30,1.530,1.530,1.530,1.530
1988-07-29,1.560,1.560,1.560,1.560
1988-08-31,1.620,1.620,1.620,1.620
1988-09-30,1.530,1.530,1.530,1.530
1988-10-31,1.680,1.680,1.680,1.680
1988-11-30,1.760,1.760,1.760,1.760
1988-12-30,1.890,1.890,1.890,1.890
1989-01-31,1.980,1.980,1.980,1.980
1989-02-28,1.810,1.810,1.810,1.810
1989-03-31,1.590,1.590,1.590,1.590
1989-04-28,1.580,1.580,1.580,1.580
1989-05-31,1.610,1.610,1.610,1.610
1989-06-30,1.650,1.650,1.650,1.650
1989-07-31,1.650,1.650,1.650,1.650
1989-08-31,1.610,1.610,1.610,1.610
1989-09-29,1.550,1.550,1.550,1.550
1989-10-31,1.680,1.680,1.680,1.680
1989-11-30,1.680,1.680,1.680,1.680
1989-12-29,1.920,1.920,1.920,1.920
1990-01-31,2.230,2.230,2.230,2.230
1990-02-28,1.850,1.850,1.850,1.850
1990-03-30,1.550,1.550,1.550,1.550
1990-04-03,1.580,1.660,1.580,1.640
1990-04-04,1.620,1.650,1.600,1.620
1990-04-05,1.620,1.640,1.610,1.620
1990-04-06,1.620,1.640,1.610,1.630
1990-04-09,1.610,1.640,1.610,1.640
1990-04-10,1.630,1.630,1.610,1.620
1990-04-11,1.610,1.610,1.600,1.610
1990-04-12,1.600,1.600,1.590,1.600
1990-04-16,1.600,1.600,1.590,1.600
1990-04-17,1.590,1.600,1.590,1.590
1990-04-18,1.580,1.590,1.580,1.580
1990-04-19,1.580,1.580,1.550,1.570
1990-04-20,1.560,1.560,1.540,1.540
1990-04-23,1.530,1.560,1.530,1.560
1990-04-24,1.540,1.560,1.540,1.560
1990-04-25,1.560,1.570,1.550,1.550
1990-04-26,1.560,1.560,1.560,1.560
1990-04-27,1.560,1.560,1.550,1.560
1990-04-30,1.570,1.570,1.570,1.570
1990-05-01,1.580,1.580,1.570,1.570
