Date,Open,High,Low,Close
2012-01-03,135.70,135.70,135.70,135.70
2012-01-04,135.85,135.85,135.85,135.85
2012-01-05,136.06,136.06,136.06,136.06
2012-01-06,136.27,136.27,136.27,136.27
2012-01-09,136.48,136.48,136.48,136.48
2012-01-10,136.80,136.80,136.80,136.80
2012-01-11,136.86,136.86,136.86,136.86
2012-01-12,137.43,137.43,137.43,137.43
2012-01-13,137.75,137.75,137.75,137.75
2012-01-17,138.20,138.20,138.20,138.20
2012-01-18,138.41,138.41,138.41,138.41
2012-01-19,138.61,138.61,138.61,138.61
2012-01-20,138.81,138.81,138.81,138.81
2012-01-23,139.01,139.01,139.01,139.01
2012-01-24,139.21,139.21,139.21,139.21
2012-01-25,139.41,139.41,139.41,139.41
2012-01-26,139.61,139.61,139.61,139.61
2012-01-27,139.82,139.82,139.82,139.82
2012-01-30,140.02,140.02,140.02,140.02
2012-01-31,145.75,145.75,145.75,145.75
2012-02-01,144.66,144.66,144.66,144.66
2012-02-02,144.58,144.58,144.58,144.58
2012-02-03,143.45,143.45,143.45,143.45
2012-02-06,144.57,144.57,144.57,144.57
2012-02-07,143.57,143.57,143.51,143.57
2012-02-08,142.81,142.81,142.81,142.81
2012-02-09,142.82,142.82,142.82,142.82
2012-02-10,142.83,142.83,142.83,142.83
2012-02-13,142.22,142.22,142.22,142.22
2012-02-14,141.02,141.02,141.02,141.02
2012-02-15,140.67,140.67,140.67,140.67
2012-02-16,140.11,140.11,140.11,140.11
2012-02-17,139.92,139.92,139.92,139.92
2012-02-21,139.87,139.87,139.87,139.87
2012-02-22,139.79,139.79,139.79,139.79
2012-02-23,139.98,139.98,139.98,139.98
2012-02-24,139.93,139.93,139.93,139.93
2012-02-27,139.97,139.97,139.97,139.97
2012-02-28,140.12,140.12,140.12,140.12
2012-02-29,140.25,140.25,140.25,140.25
2012-03-01,139.25,139.25,139.25,139.25
2012-03-02,139.50,139.50,139.50,139.50
2012-03-05,137.92,137.92,137.88,137.92
2012-03-06,138.17,138.17,138.17,138.17
2012-03-07,138.75,138.75,138.75,138.75
2012-03-08,139.75,139.75,139.75,139.75
2012-03-09,140.00,140.00,140.00,140.00
2012-03-12,142.50,142.50,142.50,142.50
2012-03-13,143.50,143.50,143.50,143.50
2012-03-14,143.05,143.05,142.88,143.05
2012-03-15,143.62,143.70,143.62,143.62
2012-03-16,143.55,143.55,143.55,143.55
2012-03-19,143.70,143.72,143.70,143.70
2012-03-20,143.71,143.71,143.71,143.71
2012-03-21,143.69,143.73,143.69,143.69
2012-03-22,143.80,143.80,143.80,143.80
2012-03-23,143.94,143.95,143.94,143.94
2012-03-26,144.15,144.15,144.15,144.15
2012-03-27,144.29,144.29,144.29,144.29
2012-03-28,144.46,144.46,144.46,144.46
2012-03-29,144.60,144.60,144.60,144.60
2012-03-30,144.58,144.58,144.58,144.58
2012-04-02,145.92,145.92,145.92,145.92
2012-04-03,147.06,147.06,147.06,147.06
2012-04-04,147.30,147.30,147.30,147.30
2012-04-05,147.05,147.05,147.05,147.05
2012-04-09,147.05,147.05,147.05,147.05
2012-04-10,149.39,149.39,149.39,149.39
2012-04-11,149.09,149.09,149.09,149.09
2012-04-12,148.89,148.89,148.89,148.89
2012-04-13,148.55,148.55,148.55,148.55
2012-04-16,148.14,148.14,148.14,148.14
2012-04-17,148.36,148.38,148.36,148.36
2012-04-18,148.23,148.23,148.12,148.23
2012-04-19,148.01,148.01,148.01,148.01
2012-04-20,148.30,148.30,148.30,148.30
2012-04-23,148.18,148.18,148.13,148.18
2012-04-24,148.16,148.32,148.16,148.16
2012-04-25,148.13,148.13,148.13,148.13
2012-04-26,147.89,147.89,147.89,147.89
2012-04-27,147.77,147.77,147.77,147.77
2012-04-30,142.17,142.17,142.17,142.17
2012-05-01,142.68,142.68,142.68,142.68
2012-05-02,142.49,142.49,142.49,142.49
2012-05-03,142.50,142.50,142.50,142.50
2012-05-04,142.68,142.68,142.68,142.68
2012-05-07,142.68,142.68,142.68,142.68
2012-05-08,141.37,141.37,141.33,141.37
2012-05-09,141.41,141.41,141.41,141.41
2012-05-10,140.84,140.84,140.84,140.84
2012-05-11,140.22,140.22,140.22,140.22
2012-05-14,139.13,139.13,139.13,139.13
2012-05-15,138.89,138.89,138.89,138.89
2012-05-16,138.55,138.55,138.55,138.55
2012-05-17,138.35,138.35,138.35,138.35
2012-05-18,137.95,137.95,137.95,137.95
2012-05-21,138.03,138.03,137.79,138.03
2012-05-22,137.83,137.83,137.83,137.83
2012-05-23,137.44,137.44,137.44,137.44
2012-05-24,137.18,137.18,137.18,137.18
2012-05-25,137.04,137.04,137.04,137.04
2012-05-29,136.44,136.44,136.44,136.44
2012-05-30,136.36,136.36,136.36,136.36
2012-05-31,132.33,132.33,132.33,132.33
2012-06-01,131.98,131.98,131.98,131.98
2012-06-04,131.98,131.98,131.98,131.98
2012-06-05,132.00,132.00,132.00,132.00
2012-06-06,129.76,129.76,129.76,129.76
2012-06-07,131.75,131.75,131.75,131.75
2012-06-08,131.21,131.21,131.21,131.21
2012-06-11,131.89,131.89,131.89,131.89
2012-06-12,132.19,132.19,132.19,132.19
2012-06-13,133.32,133.32,133.32,133.32
2012-06-14,133.56,133.56,133.56,133.56
2012-06-15,133.74,133.74,133.74,133.74
2012-06-18,134.27,134.27,134.27,134.27
2012-06-19,134.39,134.39,134.39,134.39
2012-06-20,134.46,134.46,134.46,134.46
2012-06-21,134.51,134.51,134.51,134.51
2012-06-22,134.53,134.53,134.53,134.53
2012-06-25,134.58,134.58,134.58,134.58
2012-06-26,134.62,134.62,134.62,134.62
2012-06-27,134.64,134.64,134.64,134.64
2012-06-28,134.65,134.65,134.65,134.65
2012-06-29,132.71,132.71,132.71,132.71
2012-07-02,131.75,131.75,131.75,131.75
2012-07-03,134.04,134.04,134.04,134.04
2012-07-05,134.67,134.67,134.67,134.67
2012-07-06,134.05,134.05,134.05,134.05
2012-07-09,134.25,134.25,134.25,134.25
2012-07-10,133.35,133.35,133.35,133.35
2012-07-11,133.47,133.47,133.47,133.47
2012-07-12,133.60,133.60,133.60,133.60
2012-07-13,133.29,133.29,133.29,133.29
2012-07-16,133.11,133.11,133.11,133.11
2012-07-17,132.80,132.80,132.80,132.80
2012-07-18,132.41,132.41,132.41,132.41
2012-07-19,132.02,132.02,132.02,132.02
2012-07-20,131.51,131.51,131.51,131.51
2012-07-23,131.04,131.04,131.04,131.04
2012-07-24,130.73,130.73,130.73,130.73
2012-07-25,130.58,130.58,130.58,130.58
2012-07-26,129.58,129.58,129.58,129.58
2012-07-27,129.11,129.11,129.11,129.11
2012-07-30,128.47,128.47,128.47,128.47
2012-07-31,120.92,120.92,120.92,120.92
2012-08-01,116.33,116.33,116.33,116.33
2012-08-02,114.43,114.43,114.43,114.43
2012-08-03,114.47,114.47,114.47,114.47
2012-08-06,116.03,116.03,116.03,116.03
2012-08-07,117.05,117.05,117.05,117.05
2012-08-08,115.85,115.85,115.85,115.85
2012-08-09,115.73,115.73,115.73,115.73
2012-08-10,114.78,114.78,114.78,114.78
2012-08-13,114.63,114.63,114.63,114.63
2012-08-14,114.03,114.03,114.03,114.03
2012-08-15,114.10,114.10,114.10,114.10
2012-08-16,113.87,113.87,113.87,113.87
2012-08-17,113.18,113.18,113.18,113.18
2012-08-20,112.86,112.86,112.86,112.86
2012-08-21,112.53,112.53,112.53,112.53
2012-08-22,111.94,111.94,111.94,111.94
2012-08-23,111.13,111.13,111.13,111.13
2012-08-24,110.87,110.87,110.87,110.87
2012-08-27,110.98,110.98,110.98,110.98
2012-08-28,110.36,110.36,110.36,110.36
2012-08-29,109.53,109.53,109.53,109.53
2012-08-30,108.64,108.64,108.64,108.64
2012-08-31,90.50,90.50,90.50,90.50
2012-09-04,86.43,86.43,86.43,86.43
2012-09-05,85.24,85.24,85.24,85.24
2012-09-06,87.49,87.49,87.49,87.49
2012-09-07,92.75,92.75,92.75,92.75
2012-09-10,95.05,95.05,95.05,95.05
2012-09-11,96.48,96.48,96.48,96.48
2012-09-12,94.00,94.00,94.00,94.00
2012-09-13,93.93,93.93,93.93,93.93
2012-09-14,95.82,95.82,95.82,95.82
2012-09-17,96.89,96.89,96.89,96.89
2012-09-18,97.72,97.72,97.72,97.72
2012-09-19,98.38,98.38,98.38,98.38
2012-09-20,98.76,98.76,98.76,98.76
2012-09-21,98.18,98.18,98.18,98.18
2012-09-24,98.47,98.47,98.47,98.47
2012-09-25,98.73,98.73,98.73,98.73
2012-09-26,98.94,98.94,98.94,98.94
2012-09-27,99.22,99.22,99.22,99.22
2012-09-28,105.83,105.83,105.83,105.83
2012-10-01,106.08,106.08,106.08,106.08
2012-10-02,106.60,106.60,106.60,106.60
2012-10-03,108.59,108.59,108.59,108.59
2012-10-04,109.82,109.82,109.82,109.82
2012-10-05,109.59,109.59,109.59,109.59
2012-10-08,110.67,110.67,110.67,110.67
2012-10-09,111.33,111.33,111.33,111.33
2012-10-10,110.60,110.60,110.60,110.60
2012-10-11,110.33,110.33,110.33,110.33
2012-10-12,110.06,110.06,110.06,110.06
2012-10-15,109.94,109.94,109.94,109.94
2012-10-16,110.44,110.44,110.44,110.44
2012-10-17,111.34,111.34,111.34,111.34
2012-10-18,111.81,111.81,111.81,111.81
2012-10-19,111.73,111.73,111.73,111.73
2012-10-22,112.17,112.17,112.17,112.17
2012-10-23,112.21,112.21,112.21,112.21
2012-10-24,112.52,112.52,112.52,112.52
2012-10-25,112.82,112.82,112.82,112.82
2012-10-26,113.16,113.16,113.16,113.16
2012-10-29,113.70,113.70,113.70,113.70
2012-10-30,113.70,113.70,113.70,113.70
2012-10-31,116.08,116.08,116.08,116.08
2012-11-01,117.45,117.45,113.51,117.45
2012-11-02,117.45,117.45,117.45,117.45
2012-11-05,117.08,117.08,117.08,117.08
2012-11-06,117.79,117.79,117.79,117.79
2012-11-07,118.34,118.34,118.34,118.34
2012-11-08,118.71,118.71,118.71,118.71
2012-11-09,119.99,119.99,119.99,119.99
2012-11-12,120.64,120.64,120.64,120.64
2012-11-13,120.18,120.18,120.18,120.18
2012-11-14,120.17,120.17,120.17,120.17
2012-11-15,120.61,120.61,120.61,120.61
2012-11-16,120.53,120.53,120.53,120.53
2012-11-19,120.28,120.28,120.28,120.28
2012-11-20,120.16,120.16,120.16,120.16
2012-11-21,120.28,120.28,120.28,120.28
2012-11-23,120.26,120.26,120.26,120.26
2012-11-26,120.26,120.26,120.26,120.26
2012-11-27,120.10,120.10,120.10,120.10
2012-11-28,119.94,119.94,119.94,119.94
2012-11-29,119.97,119.97,119.97,119.97
2012-11-30,111.75,111.75,111.75,111.75
2012-12-03,113.79,113.79,113.79,113.79
2012-12-04,114.59,114.59,114.59,114.59
2012-12-05,117.68,117.68,117.68,117.68
2012-12-06,118.49,118.55,118.49,118.49
2012-12-07,121.29,121.29,121.29,121.29
2012-12-10,121.40,121.40,121.40,121.40
2012-12-11,121.40,121.40,121.40,121.40
2012-12-12,122.31,122.31,122.31,122.31
2012-12-13,122.73,122.73,122.73,122.73
2012-12-14,124.33,124.33,123.16,124.33
2012-12-17,126.00,126.00,126.00,126.00
2012-12-18,126.50,126.50,126.50,126.50
2012-12-19,127.08,127.08,127.08,127.08
2012-12-20,127.58,127.58,127.58,127.58
2012-12-21,127.63,127.63,127.63,127.63
2012-12-24,129.75,129.75,129.75,129.75
2012-12-26,129.75,129.75,129.75,129.75
2012-12-27,128.82,128.82,128.82,128.82
2012-12-28,128.23,128.23,128.23,128.23
2012-12-31,143.67,143.67,143.67,143.67
2013-01-02,146.74,146.74,146.74,146.74
2013-01-03,151.24,151.24,151.24,151.24
2013-01-04,148.91,148.91,148.91,148.91
2013-01-07,150.16,150.16,150.16,150.16
2013-01-08,152.39,152.39,152.39,152.39
2013-01-09,151.99,151.99,151.99,151.99
2013-01-10,151.66,151.66,151.66,151.66
2013-01-11,151.16,151.16,151.16,151.16
2013-01-14,152.78,152.78,152.78,152.78
2013-01-15,152.19,152.19,152.19,152.19
2013-01-16,151.37,151.37,151.37,151.37
2013-01-17,151.31,151.31,151.31,151.31
2013-01-18,151.57,151.57,151.57,151.57
2013-01-22,151.35,151.35,151.35,151.35
2013-01-23,151.23,151.23,151.23,151.23
2013-01-24,151.03,151.03,151.03,151.03
2013-01-25,150.88,150.88,150.88,150.88
2013-01-28,150.80,150.80,150.80,150.80
2013-01-29,150.70,150.70,150.70,150.70
2013-01-30,150.75,150.75,150.75,150.75
2013-01-31,150.38,150.38,150.38,150.38
2013-02-01,153.64,153.64,153.64,153.64
2013-02-04,156.15,156.15,156.15,156.15
2013-02-05,154.83,154.83,154.83,154.83
2013-02-06,155.97,155.97,155.97,155.97
2013-02-07,156.65,156.65,156.65,156.65
2013-02-08,157.30,157.30,157.30,157.30
2013-02-11,156.72,156.72,156.72,156.72
2013-02-12,156.83,156.83,156.83,156.83
2013-02-13,156.62,156.62,156.62,156.62
2013-02-14,156.37,156.37,156.37,156.37
2013-02-15,155.28,155.28,155.28,155.28
2013-02-19,155.43,155.43,155.43,155.43
2013-02-20,155.39,155.39,155.39,155.39
2013-02-21,155.52,155.52,155.52,155.52
2013-02-22,155.30,155.30,155.30,155.30
2013-02-25,155.21,155.21,155.21,155.21
