Date,Open,High,Low,Close
1982-05-03,63.81,63.88,63.50,63.50
1982-05-04,63.44,64.12,63.38,64.00
1982-05-05,64.19,64.38,63.94,64.12
1982-05-06,64.62,65.06,64.56,65.06
1982-05-07,65.31,65.38,64.94,65.31
1982-05-10,65.12,65.44,65.06,65.19
1982-05-11,64.94,65.44,64.94,65.31
1982-05-12,65.31,65.56,64.75,64.94
1982-05-13,64.88,64.94,64.69,64.75
1982-05-14,64.94,65.44,64.88,65.19
1982-05-17,65.31,65.44,64.75,64.75
1982-05-18,64.62,65.06,64.44,64.94
1982-05-19,64.75,64.94,64.62,64.62
1982-05-20,64.88,65.31,64.88,65.19
1982-05-21,65.06,65.31,65.06,65.06
1982-05-24,64.94,65.19,64.88,65.06
1982-05-25,64.88,64.94,64.69,64.88
1982-05-26,65.06,65.19,64.50,64.50
1982-05-27,64.44,64.62,64.38,64.38
1982-05-28,64.38,64.62,64.31,64.38
1982-06-01,64.31,64.31,63.62,63.69
1982-06-02,63.88,63.94,63.69,63.88
1982-06-03,64.06,64.06,63.69,63.88
1982-06-04,63.69,63.75,63.38,63.50
1982-06-07,63.56,63.88,63.38,63.69
1982-06-08,63.69,63.75,63.50,63.62
1982-06-09,63.50,63.62,63.38,63.62
1982-06-10,63.44,63.50,63.38,63.44
1982-06-11,63.88,63.88,63.75,63.88
1982-06-14,63.31,63.31,62.38,62.88
1982-06-15,62.75,62.88,62.75,62.88
1982-06-16,62.88,62.94,62.62,62.69
1982-06-17,62.31,62.31,61.81,62.12
1982-06-18,62.06,62.12,61.50,61.50
1982-06-21,61.44,61.69,61.31,61.62
1982-06-22,61.25,61.62,61.19,61.25
1982-06-23,60.88,61.06,60.62,61.06
1982-06-24,61.06,61.38,60.81,61.06
1982-06-25,61.06,61.19,60.81,60.94
1982-06-28,60.94,61.19,60.81,61.19
1982-06-29,61.31,61.38,61.00,61.38
1982-06-30,61.75,62.12,61.75,62.00
1982-07-01,62.19,62.38,61.81,62.19
1982-07-02,61.94,62.00,61.62,61.75
1982-07-06,61.94,62.06,61.75,61.88
1982-07-07,61.75,62.19,61.62,62.12
1982-07-08,62.19,63.00,62.19,62.94
1982-07-09,63.38,63.62,63.19,63.50
1982-07-12,64.19,64.31,63.88,63.94
1982-07-13,63.62,63.62,63.00,63.31
1982-07-14,63.31,63.38,62.94,63.06
1982-07-15,63.31,63.69,63.31,63.50
1982-07-16,63.62,64.56,63.62,64.50
1982-07-19,64.56,64.88,64.44,64.62
1982-07-20,65.00,65.19,64.62,64.88
1982-07-21,65.06,65.06,64.50,64.50
1982-07-22,64.31,65.06,64.19,64.88
1982-07-23,65.06,65.06,64.50,64.62
1982-07-26,64.31,64.31,63.50,63.50
1982-07-27,63.38,63.94,63.31,63.69
1982-07-28,63.50,63.75,63.25,63.31
1982-07-29,63.50,64.19,63.50,64.06
1982-07-30,64.31,64.62,64.31,64.50
1982-08-02,65.38,65.50,65.06,65.44
1982-08-03,65.44,65.62,64.94,65.00
1982-08-04,65.06,65.06,64.50,64.94
1982-08-05,64.88,64.88,64.38,64.75
1982-08-06,64.56,64.56,64.06,64.06
1982-08-09,63.88,64.75,63.75,64.69
1982-08-10,64.62,64.88,64.50,64.62
1982-08-11,64.75,64.81,64.50,64.56
1982-08-12,64.56,65.31,64.56,65.19
1982-08-13,65.44,66.12,65.44,65.94
1982-08-16,66.62,67.31,66.62,66.69
1982-08-17,66.75,68.50,66.75,68.19
1982-08-18,69.75,70.00,68.62,68.94
1982-08-19,69.06,69.44,68.31,68.88
1982-08-20,69.81,70.62,69.56,69.75
1982-08-23,69.19,69.19,68.88,68.94
1982-08-24,69.12,69.75,68.88,69.56
1982-08-25,69.31,69.62,69.00,69.06
1982-08-26,68.94,69.75,68.56,68.56
1982-08-27,68.31,68.38,67.62,67.62
1982-08-30,67.62,68.00,67.31,68.00
1982-08-31,67.81,68.12,67.69,67.81
1982-09-01,67.75,68.25,67.75,68.06
1982-09-02,68.25,68.56,67.88,68.56
1982-09-03,68.56,69.81,68.56,69.19
1982-09-07,69.19,69.31,69.00,69.00
1982-09-08,68.88,69.12,68.75,69.06
1982-09-09,69.00,69.25,68.88,69.00
1982-09-10,68.50,68.56,68.06,68.06
1982-09-13,67.88,68.81,67.81,68.81
1982-09-14,69.00,69.19,68.62,68.88
1982-09-15,69.19,69.50,68.44,68.81
1982-09-16,68.50,68.88,68.50,68.62
1982-09-17,68.88,69.19,68.75,69.12
1982-09-20,68.88,69.50,68.81,69.31
1982-09-21,69.12,69.62,69.12,69.56
1982-09-22,69.94,70.25,69.56,69.56
1982-09-23,69.31,70.06,69.25,69.94
1982-09-24,69.62,69.75,69.06,69.44
1982-09-27,69.25,69.69,69.19,69.56
1982-09-28,69.88,70.19,69.62,70.00
1982-09-29,70.06,70.19,69.69,70.00
1982-09-30,69.75,70.56,69.69,70.25
1982-10-01,70.31,71.06,70.31,71.06
1982-10-04,70.38,70.44,69.75,69.94
1982-10-05,70.06,70.19,69.88,70.12
1982-10-06,70.31,71.06,70.31,70.94
1982-10-07,71.75,72.69,71.75,72.69
1982-10-08,72.94,73.88,72.62,73.12
1982-10-11,74.12,74.88,74.12,74.88
1982-10-12,75.75,76.00,74.75,74.75
1982-10-13,74.19,75.25,73.81,75.12
1982-10-14,74.88,75.19,74.12,74.25
1982-10-15,74.38,74.38,73.31,73.62
1982-10-18,74.00,74.44,73.88,74.38
1982-10-19,74.75,75.19,74.44,74.69
1982-10-20,74.62,74.62,73.81,74.31
1982-10-21,74.62,74.69,74.00,74.44
1982-10-22,74.31,74.31,73.75,73.75
1982-10-25,72.88,73.19,72.50,72.62
1982-10-26,72.88,73.69,72.75,73.50
1982-10-27,73.62,73.94,73.19,73.19
1982-10-28,73.31,74.00,73.25,73.94
1982-10-29,74.44,74.62,74.19,74.56
