Date,Open,High,Low,Close
1841-03-01,59.50,59.50,59.50,59.50
1841-06-01,59.50,59.50,59.50,59.50
1841-09-01,59.50,92.50,59.50,92.50
1841-12-01,92.50,92.50,82.00,82.00
1842-03-01,82.00,82.00,82.00,82.00
1842-06-01,82.00,90.00,82.00,90.00
1842-09-01,90.00,90.00,35.50,35.50
1842-12-01,35.50,36.00,35.50,36.00
1843-03-01,36.00,36.50,36.00,36.50
1843-06-01,36.50,36.50,33.50,33.50
1843-09-01,33.50,56.00,33.50,56.00
1843-12-01,56.00,56.00,56.00,56.00
1844-03-01,56.00,56.00,52.50,52.50
1844-06-01,52.50,69.00,52.50,69.00
1844-09-01,69.00,69.00,47.00,47.00
1844-12-01,47.00,47.00,47.00,47.00
1845-03-01,47.00,57.50,47.00,57.50
1845-06-01,57.50,57.50,42.50,42.50
1845-09-01,42.50,78.00,42.50,78.00
1845-12-01,78.00,78.00,78.00,78.00
1846-03-01,78.00,78.00,65.00,65.00
1846-06-01,65.00,65.00,65.00,65.00
1846-09-01,65.00,65.00,40.00,40.00
1846-12-01,40.00,45.00,40.00,45.00
1847-03-01,45.00,52.50,45.00,52.50
1847-06-01,52.50,52.50,47.50,47.50
1847-09-01,47.50,70.00,47.50,70.00
1847-12-01,70.00,70.00,60.00,60.00
1848-03-01,60.00,65.00,60.00,65.00
1848-06-01,65.00,82.50,65.00,82.50
1848-09-01,82.50,82.50,55.00,55.00
1848-12-01,55.00,55.00,55.00,55.00
1849-03-01,55.00,59.50,55.00,59.50
1849-06-01,59.50,62.50,59.50,62.50
1849-09-01,62.50,62.50,52.50,52.50
1849-12-01,52.50,54.00,52.50,54.00
1850-03-01,54.00,60.00,54.00,60.00
1850-06-01,60.00,90.00,60.00,90.00
1850-09-01,90.00,90.00,46.00,46.00
1850-12-01,46.00,50.00,46.00,50.00
1851-03-01,50.00,55.00,50.00,55.00
1851-06-01,55.00,55.00,55.00,55.00
1851-09-01,55.00,55.00,35.00,35.00
1851-12-01,35.00,36.00,35.00,36.00
1852-03-01,36.00,38.00,36.00,38.00
1852-06-01,38.00,38.00,34.00,34.00
1852-09-01,34.00,60.00,34.00,60.00
1852-12-01,60.00,60.00,60.00,60.00
1853-03-01,60.00,69.00,60.00,69.00
1853-06-01,69.00,69.00,59.00,59.00
1853-09-01,59.00,93.50,59.00,93.50
1853-12-01,93.50,93.50,82.50,82.50
1854-03-01,82.50,104.50,82.50,104.50
1854-06-01,104.50,104.50,97.50,97.50
1854-09-01,97.50,127.50,97.50,127.50
1854-12-01,127.50,127.50,105.00,105.00
1855-03-01,105.00,114.00,105.00,114.00
1855-06-01,114.00,114.00,105.00,105.00
1855-09-01,105.00,160.00,105.00,160.00
1855-12-01,160.00,160.00,130.00,130.00
1856-03-01,130.00,131.50,130.00,131.50
1856-06-01,131.50,131.50,131.50,131.50
1856-09-01,131.50,131.50,77.50,77.50
1856-12-01,77.50,81.00,77.50,81.00
1857-03-01,81.00,87.50,81.00,87.50
1857-06-01,87.50,123.50,87.50,123.50
1857-09-01,123.50,123.50,54.50,54.50
1857-12-01,54.50,54.50,54.50,54.50
1858-03-01,54.50,55.00,54.50,55.00
1858-06-01,55.00,55.00,55.00,55.00
1858-09-01,55.00,87.00,55.00,87.00
1858-12-01,87.00,87.00,65.00,65.00
1859-03-01,65.00,75.00,65.00,75.00
1859-06-01,75.00,75.00,64.50,64.50
1859-09-01,64.50,116.50,64.50,116.50
1859-12-01,116.50,116.50,92.00,92.00
1860-03-01,92.00,97.00,92.00,97.00
1860-06-01,97.00,109.50,97.00,109.50
1860-09-01,109.50,109.50,74.50,74.50
1860-12-01,74.50,74.50,74.50,74.50
1861-03-01,74.50,75.00,74.50,75.00
1861-06-01,75.00,97.50,75.00,97.50
1861-09-01,97.50,97.50,60.00,60.00
1861-12-01,60.00,63.50,60.00,63.50
1862-03-01,63.50,66.50,63.50,66.50
1862-06-01,66.50,66.50,66.50,66.50
1862-09-01,66.50,86.00,66.50,86.00
1862-12-01,86.00,86.00,83.50,83.50
1863-03-01,83.50,95.00,83.50,95.00
1863-06-01,95.00,95.00,85.00,85.00
1863-09-01,85.00,108.50,85.00,108.50
1863-12-01,108.50,108.50,108.50,108.50
1864-03-01,108.50,117.00,108.50,117.00
1864-06-01,117.00,117.00,114.00,114.00
1864-09-01,114.00,204.00,114.00,204.00
1864-12-01,204.00,204.00,172.00,172.00
1865-03-01,172.00,172.00,155.00,155.00
1865-06-01,155.00,155.00,140.50,140.50
1865-09-01,140.50,140.50,85.00,85.00
1865-12-01,85.00,92.50,85.00,92.50
1866-03-01,92.50,92.50,92.50,92.50
1866-06-01,92.50,92.50,70.00,70.00
1866-09-01,70.00,203.00,70.00,203.00
1866-12-01,203.00,203.00,187.25,187.25
1867-03-01,187.25,187.25,187.25,187.25
1867-06-01,187.25,285.00,187.25,285.00
1867-09-01,285.00,285.00,155.00,155.00
1867-12-01,155.00,179.50,155.00,179.50
1868-03-01,179.50,188.25,179.50,188.25
1868-06-01,188.25,220.00,188.25,220.00
