Date,Open,High,Low,Close
1865-01-31,100,100,100,100
1865-02-28,99.49794038,99.49794038,99.49794038,99.49794038
1865-03-31,102.009225,102.009225,102.009225,102.009225
1865-04-30,100.2251648,100.2251648,100.2251648,100.2251648
1865-05-31,95.03882874,95.03882874,95.03882874,95.03882874
1865-06-30,98.20193957,98.20193957,98.20193957,98.20193957
1865-07-31,103.368737,103.368737,103.368737,103.368737
1865-08-31,110.3959551,110.3959551,110.3959551,110.3959551
1865-09-30,112.1307211,112.1307211,112.1307211,112.1307211
1865-10-31,115.588672,115.588672,115.588672,115.588672
1865-11-30,115.00111,115.00111,115.00111,115.00111
1865-12-31,116.0506734,116.0506734,116.0506734,116.0506734
1866-01-31,119.2172186,119.2172186,119.2172186,119.2172186
1866-02-28,126.4906201,126.4906201,126.4906201,126.4906201
1866-03-31,122.9547401,122.9547401,122.9547401,122.9547401
1866-04-30,121.5401678,121.5401678,121.5401678,121.5401678
1866-05-31,121.7587923,121.7587923,121.7587923,121.7587923
1866-06-30,110.4859657,110.4859657,110.4859657,110.4859657
1866-07-31,109.8074218,109.8074218,109.8074218,109.8074218
1866-08-31,123.4757978,123.4757978,123.4757978,123.4757978
1866-09-30,118.9636257,118.9636257,118.9636257,118.9636257
1866-10-31,128.7907629,128.7907629,128.7907629,128.7907629
1866-11-30,122.8132159,122.8132159,122.8132159,122.8132159
1866-12-31,129.2677981,129.2677981,129.2677981,129.2677981
1867-01-31,131.2402678,131.2402678,131.2402678,131.2402678
1867-02-28,134.9789289,134.9789289,134.9789289,134.9789289
1867-03-31,132.4519758,132.4519758,132.4519758,132.4519758
1867-04-30,143.2282399,143.2282399,143.2282399,143.2282399
1867-05-31,143.2805942,143.2805942,143.2805942,143.2805942
1867-06-30,154.4298235,154.4298235,154.4298235,154.4298235
1867-07-31,162.9891622,162.9891622,162.9891622,162.9891622
1867-08-31,170.8428541,170.8428541,170.8428541,170.8428541
1867-09-30,175.8674181,175.8674181,175.8674181,175.8674181
1867-10-31,181.9397489,181.9397489,181.9397489,181.9397489
1867-11-30,192.5560818,192.5560818,192.5560818,192.5560818
1867-12-31,189.647135,189.647135,189.647135,189.647135
1868-01-31,194.087143,194.087143,194.087143,194.087143
1868-02-29,195.1002911,195.1002911,195.1002911,195.1002911
1868-03-31,205.326092,205.326092,205.326092,205.326092
1868-04-30,220.8117595,220.8117595,220.8117595,220.8117595
1868-05-31,221.4054205,221.4054205,221.4054205,221.4054205
1868-06-30,216.9692552,216.9692552,216.9692552,216.9692552
1868-07-31,227.6100252,227.6100252,227.6100252,227.6100252
1868-08-31,232.7750772,232.7750772,232.7750772,232.7750772
1868-09-30,232.6225341,232.6225341,232.6225341,232.6225341
1868-10-31,232.2689963,232.2689963,232.2689963,232.2689963
1868-11-30,229.6966773,229.6966773,229.6966773,229.6966773
1868-12-31,232.2515748,232.2515748,232.2515748,232.2515748
1869-01-31,232.4741965,232.4741965,232.4741965,232.4741965
1869-02-28,248.9677726,248.9677726,248.9677726,248.9677726
1869-03-31,241.9136485,241.9136485,241.9136485,241.9136485
1869-04-30,239.1523198,239.1523198,239.1523198,239.1523198
1869-05-31,189.1021312,189.1021312,189.1021312,189.1021312
1869-06-30,202.6813525,202.6813525,202.6813525,202.6813525
1869-07-31,205.5672387,205.5672387,205.5672387,205.5672387
1869-08-31,214.1000938,214.1000938,214.1000938,214.1000938
1869-09-30,199.1238556,199.1238556,199.1238556,199.1238556
1869-10-31,182.2715608,182.2715608,182.2715608,182.2715608
1869-11-30,176.6611639,176.6611639,176.6611639,176.6611639
1869-12-31,149.6829651,149.6829651,149.6829651,149.6829651
1870-01-31,158.1293898,158.1293898,158.1293898,158.1293898
1870-02-28,158.1367528,158.1367528,158.1367528,158.1367528
1870-03-31,150.5915405,150.5915405,150.5915405,150.5915405
1870-04-30,149.4708222,149.4708222,149.4708222,149.4708222
1870-05-31,149.169948,149.169948,149.169948,149.169948
1870-06-30,154.6224763,154.6224763,154.6224763,154.6224763
1870-07-31,153.7177364,153.7177364,153.7177364,153.7177364
1870-08-31,145.8162484,145.8162484,145.8162484,145.8162484
1870-09-30,155.0116615,155.0116615,155.0116615,155.0116615
1870-10-31,160.0361826,160.0361826,160.0361826,160.0361826
1870-11-30,167.2222268,167.2222268,167.2222268,167.2222268
1870-12-31,166.4217346,166.4217346,166.4217346,166.4217346
1871-01-31,168.5017438,168.5017438,168.5017438,168.5017438
1871-02-28,161.4057445,161.4057445,161.4057445,161.4057445
1871-03-31,168.9507239,168.9507239,168.9507239,168.9507239
1871-04-30,167.1419907,167.1419907,167.1419907,167.1419907
1871-05-31,166.2057071,166.2057071,166.2057071,166.2057071
1871-06-30,172.6969302,172.6969302,172.6969302,172.6969302
1871-07-31,174.4630165,174.4630165,174.4630165,174.4630165
1871-08-31,175.3312358,175.3312358,175.3312358,175.3312358
1871-09-30,175.0119886,175.0119886,175.0119886,175.0119886
1871-10-31,177.6546591,177.6546591,177.6546591,177.6546591
1871-11-30,179.2814905,179.2814905,179.2814905,179.2814905
1871-12-31,180.048851,180.048851,180.048851,180.048851
1872-01-31,182.5062506,182.5062506,182.5062506,182.5062506
