Date,Open,High,Low,Close
1861-12-31,12.65,12.65,12.65,12.65
1862-12-31,24.40,24.40,24.40,24.40
1863-12-31,59.36,59.36,59.36,59.36
1864-12-31,119.56,119.56,119.56,119.56
1865-12-31,99.88,99.88,99.88,99.88
1866-12-31,59.26,59.26,59.26,59.26
1867-12-31,40.01,40.01,40.01,40.01
1868-12-31,63.27,63.27,63.27,63.27
1869-12-31,63.45,63.45,63.45,63.45
1870-12-31,70.82,70.82,70.82,70.82
1871-12-31,84.05,84.05,84.05,84.05
1872-12-31,70.50,70.50,70.50,70.50
1873-12-31,35.44,35.44,35.44,35.44
1874-12-31,23.99,23.99,23.99,23.99
1875-12-31,28.52,28.52,28.52,28.52
1876-12-31,55.78,55.78,55.78,55.78
1877-12-31,52.73,52.73,52.73,52.73
1878-12-31,28.61,28.61,28.61,28.61
1879-12-31,21.41,21.41,21.41,21.41
1880-12-31,22.84,22.84,22.84,22.84
1881-12-31,20.68,20.68,20.68,20.68
1882-12-31,18.75,18.75,18.75,18.75
1883-12-31,24.90,24.90,24.90,24.90
1884-12-31,21.69,21.69,21.69,21.69
1885-12-31,22.72,22.72,22.72,22.72
1886-12-31,18.33,18.33,18.33,18.33
1887-12-31,17.30,17.30,17.30,17.30
1888-12-31,22.72,22.72,22.72,22.72
1889-12-31,24.27,24.27,24.27,24.27
1890-12-31,22.47,22.47,22.47,22.47
1891-12-31,17.30,17.30,17.30,17.30
1892-12-31,14.46,14.46,14.46,14.46
1893-12-31,16.53,16.53,16.53,16.53
1894-12-31,22.53,22.53,22.53,22.53
1895-12-31,37.93,37.93,37.93,37.93
1896-12-31,32.91,32.91,32.91,32.91
1897-12-31,22.03,22.03,22.03,22.03
1898-12-31,25.38,25.38,25.38,25.38
1899-12-31,35.98,35.98,35.98,35.98
1900-12-31,33.19,33.19,33.19,33.19
1901-12-31,26.77,26.77,26.77,26.77
1902-12-31,21.45,21.45,21.45,21.45
1903-12-31,24.27,24.27,24.27,24.27
1904-12-31,22.21,22.21,22.21,22.21
1905-12-31,16.01,16.01,16.01,16.01
1906-12-31,18.85,18.85,18.85,18.85
1907-12-31,17.93,17.93,17.93,17.93
1908-12-31,18.59,18.59,18.59,18.59
1909-12-31,18.08,18.08,18.08,18.08
1910-12-31,15.19,15.19,15.19,15.19
1911-12-31,15.19,15.19,15.19,15.19
1912-12-31,17.79,17.79,17.79,17.79
1913-12-31,22.30,22.30,22.30,22.30
1914-12-31,18.76,18.76,18.76,18.76
1915-12-31,14.68,14.68,14.68,14.68
1916-12-31,23.45,23.45,23.45,23.45
1917-12-31,28.32,28.32,28.32,28.32
1918-12-31,30.60,30.60,30.60,30.60
1919-12-31,27.06,27.06,27.06,27.06
1920-12-31,35.68,35.68,35.68,35.68
1921-12-31,22.51,22.51,22.51,22.51
1922-12-31,22.36,22.36,22.36,22.36
1923-12-31,18.28,18.28,18.28,18.28
