Date,Open,High,Low,Close
1924-01-01,2.20,2.20,2.20,2.20
1924-02-01,2.170,2.170,2.170,2.170
1924-03-01,2.110,2.110,2.110,2.110
1924-03-08,2.0,2.0,2.0,2.0
1924-04-01,1.94050,1.94050,1.94050,1.94050
1924-05-01,1.94050,1.94050,1.94050,1.94050
1924-06-01,1.940380,1.940380,1.940380,1.940380
1924-07-01,1.94050,1.94050,1.94050,1.94050
1924-08-01,1.94050,1.94050,1.94050,1.94050
1924-09-01,1.94050,1.94050,1.94050,1.94050
1924-10-01,1.94050,1.94050,1.94050,1.94050
1924-11-01,1.94050,1.94050,1.94050,1.94050
1924-12-01,1.94050,1.94050,1.94050,1.94050
1925-01-01,1.94050,1.94050,1.94050,1.94050
1925-02-01,1.94050,1.94050,1.94050,1.94050
1925-03-01,1.94050,1.94050,1.94050,1.94050
1925-04-01,1.94050,1.94050,1.94050,1.94050
1925-05-01,1.94050,1.94050,1.94050,1.94050
1925-06-01,1.94050,1.94050,1.94050,1.94050
1925-07-01,1.94050,1.94050,1.94050,1.94050
1925-08-01,1.94050,1.94050,1.94050,1.94050
1925-09-01,1.94050,1.94050,1.94050,1.94050
1925-10-01,1.94050,1.94050,1.94050,1.94050
1925-11-01,1.94050,1.94050,1.94050,1.94050
1925-12-01,1.94050,1.94050,1.94050,1.94050
1926-01-01,1.94050,1.94050,1.94050,1.94050
1926-07-01,1.94050,1.94050,1.94050,1.94050
1926-08-22,1.94050,1.94050,1.94050,1.94050
1926-09-01,1.94050,1.94050,1.94050,1.94050
1926-10-27,1.94050,1.94050,1.94050,1.94050
1926-11-01,1.94050,1.94050,1.94050,1.94050
1926-12-21,1.94050,1.94050,1.94050,1.94050
1927-01-01,1.9450,1.9450,1.9450,1.9450
1927-02-01,1.9450,1.9450,1.9450,1.9450
1927-03-01,1.9450,1.9450,1.9450,1.9450
1927-04-01,1.9450,1.9450,1.9450,1.9450
1927-05-01,1.9450,1.9450,1.9450,1.9450
1927-06-01,1.9450,1.9450,1.9450,1.9450
1927-07-01,1.9450,1.9450,1.9450,1.9450
1927-08-01,1.9450,1.9450,1.9450,1.9450
1927-10-01,1.9450,1.9450,1.9450,1.9450
1927-11-01,1.9450,1.9450,1.9450,1.9450
1927-12-01,1.9450,1.9450,1.9450,1.9450
1928-01-01,1.9450,1.9450,1.9450,1.9450
1928-02-01,1.94340,1.94340,1.94340,1.94340
1928-03-01,1.94340,1.94340,1.94340,1.94340
1928-04-01,1.94340,1.94340,1.94340,1.94340
1928-05-01,1.94340,1.94340,1.94340,1.94340
1928-06-01,1.94340,1.94340,1.94340,1.94340
1928-07-01,1.94340,1.94340,1.94340,1.94340
1928-08-01,1.94340,1.94340,1.94340,1.94340
1928-09-01,1.94340,1.94340,1.94340,1.94340
1928-10-01,1.94340,1.94340,1.94340,1.94340
1928-11-01,1.94340,1.94340,1.94340,1.94340
1928-12-01,1.94340,1.94340,1.94340,1.94340
1929-01-01,1.94340,1.94340,1.94340,1.94340
1929-02-01,1.94340,1.94340,1.94340,1.94340
1929-03-01,1.94340,1.94340,1.94340,1.94340
1929-04-01,1.94340,1.94340,1.94340,1.94340
1929-05-01,1.94340,1.94340,1.94340,1.94340
