Date,Open,High,Low,Close
2021-06-03,25.707,25.707,25.707,25.707
2021-06-04,25.895,26.140,25.350,25.795
2021-06-07,25.780,26.840,25.550,26.492
2021-06-08,26.920,27.900,26.920,27.802
2021-06-09,27.500,28.515,27.500,28.298
2021-06-10,28.100,28.795,27.200,28.687
2021-06-11,28.795,28.795,27.620,27.845
2021-06-14,28.490,29.330,28.445,28.810
2021-06-15,29.050,29.050,27.880,28.133
2021-06-16,28.095,28.845,27.600,28.030
2021-06-17,27.800,28.740,27.500,28.312
2021-06-18,28.975,29.650,28.750,29.404
2021-06-21,29.840,30.240,29.300,29.616
2021-06-22,29.550,30.955,29.525,30.737
2021-06-23,30.850,31.790,30.550,31.547
2021-06-24,31.090,31.850,31.090,31.806
2021-06-25,31.800,32.195,31.590,32.145
2021-06-28,32.565,32.565,31.500,32.061
2021-06-29,32.150,33.655,32.150,33.238
2021-06-30,33.175,34.935,33.175,34.622
2021-07-01,35.000,37.150,34.895,36.143
2021-07-02,36.300,36.915,34.525,35.827
2021-07-05,36.280,38.550,36.145,37.945
2021-07-06,38.005,38.700,32.855,34.105
2021-07-07,34.000,36.245,32.170,32.338
2021-07-08,33.000,34.000,31.265,33.312
2021-07-09,33.600,36.925,33.600,36.632
2021-07-12,36.820,37.405,34.300,34.649
2021-07-13,34.635,35.910,33.800,35.463
2021-07-14,35.050,35.460,33.300,34.775
2021-07-15,33.500,34.640,33.245,33.797
2021-07-16,34.300,35.605,33.500,34.842
2021-07-19,35.550,36.845,35.500,35.621
2021-07-20,35.220,35.335,34.150,35.130
2021-07-21,35.000,36.145,34.900,35.910
2021-07-22,35.400,36.455,34.990,36.109
2021-07-23,35.700,35.900,34.925,35.516
2021-07-26,35.700,37.135,35.615,36.899
2021-07-27,37.280,37.885,37.200,37.575
2021-07-28,37.875,39.880,37.875,39.657
2021-07-29,39.950,41.480,39.750,41.122
2021-07-30,41.685,41.755,39.250,40.756
2021-08-02,41.360,42.745,41.360,42.153
2021-08-03,42.500,42.500,41.050,41.243
2021-08-04,41.500,42.300,41.275,42.253
2021-08-05,41.950,43.190,41.070,42.899
2021-08-06,43.785,44.650,42.670,43.118
2021-08-09,43.965,43.995,42.390,42.786
2021-08-10,43.885,45.065,43.800,44.655
2021-08-11,44.980,46.650,44.520,45.986
2021-08-12,45.855,46.605,45.250,45.871
2021-08-13,45.645,45.645,44.305,44.628
2021-08-16,45.045,48.220,45.045,47.988
2021-08-17,47.350,48.000,46.425,46.949
2021-08-18,46.200,47.700,42.500,45.385
2021-08-19,44.990,45.250,39.905,40.395
2021-08-20,41.000,42.725,40.750,41.944
2021-08-23,42.495,43.620,40.585,41.680
2021-08-24,42.785,45.675,42.370,44.870
2021-08-25,45.225,46.450,44.700,45.285
2021-08-26,45.005,45.910,44.020,45.788
2021-08-27,46.450,48.320,46.325,48.011
2021-08-30,48.500,49.800,48.200,49.679
2021-08-31,49.005,50.920,48.400,50.338
2021-09-01,50.650,52.950,49.490,50.232
2021-09-02,50.750,52.600,49.695,51.916
2021-09-03,52.395,52.700,51.250,51.505
2021-09-06,51.135,53.680,51.135,52.874
2021-09-07,52.400,54.185,51.550,53.908
2021-09-08,54.070,55.600,53.475,55.288
2021-09-09,55.575,57.275,54.750,56.581
2021-09-10,56.400,58.000,55.425,57.916
2021-09-13,58.350,62.350,58.345,61.279
2021-09-14,61.270,66.765,60.775,65.764
2021-09-15,66.890,79.305,65.250,70.707
2021-09-16,65.000,69.950,60.000,63.251
2021-09-17,63.500,66.990,62.345,65.103
2021-09-20,64.800,75.510,64.800,75.317
2021-09-21,73.005,76.250,70.500,73.782
2021-09-22,72.450,72.820,69.105,71.692
2021-09-23,70.000,71.145,67.195,69.684
2021-09-24,69.950,72.165,67.825,70.853
2021-09-27,70.970,78.920,70.900,77.178
2021-09-28,82.795,86.545,78.140,79.331
2021-09-29,78.950,88.225,78.555,87.217
2021-09-30,87.195,99.310,85.345,97.774
2021-10-01,96.050,100.000,89.000,93.625
2021-10-04,94.815,99.990,91.640,96.652
2021-10-05,99.000,121.460,99.000,116.020
2021-10-06,125.000,162.125,99.530,108.191
2021-10-07,105.300,114.500,81.075,96.584
2021-10-08,103.000,109.000,83.000,87.606
2021-10-11,84.250,94.905,80.750,85.216
2021-10-12,83.000,88.275,81.000,85.698
2021-10-13,88.000,94.460,88.000,93.616
2021-10-14,94.000,102.955,93.800,102.172
2021-10-15,104.635,104.680,87.615,94.109
2021-10-18,88.455,108.130,82.405,94.317
2021-10-19,90.500,96.400,86.115,90.346
2021-10-20,94.910,96.635,91.805,93.928
2021-10-21,93.800,95.000,87.600,88.891
2021-10-22,88.900,92.000,87.000,87.698
2021-10-25,91.890,95.000,88.100,88.877
2021-10-26,91.600,91.605,87.590,88.825
2021-10-27,88.710,88.710,85.000,87.162
2021-10-28,83.000,83.000,74.425,77.354
2021-10-29,77.000,78.500,63.500,64.864
2021-11-01,69.000,74.350,61.505,65.619
2021-11-02,68.500,71.900,62.525,67.606
2021-11-03,73.750,80.200,69.000,76.542
2021-11-04,76.600,79.900,71.210,73.376
2021-11-05,75.210,78.045,72.500,74.027
2021-11-08,78.000,81.225,75.800,79.074
2021-11-09,76.000,78.095,69.900,72.587
2021-11-10,66.000,71.600,63.300,70.123
2021-11-11,71.555,75.620,69.125,74.790
2021-11-12,77.720,79.750,73.800,75.675
2021-11-15,78.750,82.155,77.605,79.947
2021-11-16,82.350,94.900,82.000,94.189
2021-11-17,95.080,101.820,93.120,95.004
2021-11-18,97.000,97.000,90.500,95.167
2021-11-19,93.000,94.250,85.760,87.125
2021-11-22,86.250,87.665,81.675,84.017
2021-11-23,85.105,92.900,82.560,90.927
2021-11-24,91.505,94.835,89.500,93.984
2021-11-25,93.575,94.845,88.500,93.194
2021-11-26,91.965,91.965,87.000,88.122
2021-11-29,91.000,96.380,91.000,93.445
2021-11-30,95.000,101.000,90.370,92.513
2021-12-01,92.450,97.400,91.380,95.675
2021-12-02,93.245,95.300,88.750,94.830
2021-12-03,91.500,93.105,88.820,89.478
2021-12-06,89.500,91.385,85.100,89.928
2021-12-07,93.995,96.990,93.000,95.883
2021-12-08,97.000,105.120,97.000,101.502
2021-12-09,101.065,104.420,96.770,100.445
2021-12-10,102.000,108.000,98.325,105.776
2021-12-13,111.995,119.445,111.985,116.084
2021-12-14,120.000,131.000,115.545,128.301
2021-12-15,128.200,133.800,117.595,132.284
2021-12-16,128.000,146.160,124.000,142.765
2021-12-17,130.000,139.645,120.600,136.913
2021-12-20,140.755,148.995,136.000,146.926
2021-12-21,153.000,187.785,149.340,180.267
2021-12-22,173.695,178.835,149.650,172.503
2021-12-23,160.000,162.200,123.950,132.363
2021-12-24,122.900,122.900,98.810,110.710
2021-12-27,94.505,108.000,90.000,107.204
2021-12-28,99.300,107.205,97.435,106.921
2021-12-29,97.500,106.170,95.000,96.725
2021-12-30,94.255,96.835,84.695,87.357
2021-12-31,87.000,87.000,65.400,70.343
2022-01-03,67.945,84.495,66.000,80.434
2022-01-04,88.000,99.750,83.000,88.741
2022-01-05,92.350,97.040,87.600,91.522
2022-01-06,97.800,98.200,91.235,96.502
2022-01-07,100.000,103.005,81.900,88.174
2022-01-10,90.000,91.845,82.500,84.607
2022-01-11,84.005,84.875,77.300,78.736
2022-01-12,84.000,86.015,72.690,75.153
2022-01-13,76.000,86.950,69.005,85.460
2022-01-14,90.000,96.245,83.300,86.970
2022-01-17,88.245,88.915,72.080,75.661
2022-01-18,83.500,83.500,72.005,76.863
2022-01-19,76.000,76.000,69.875,74.297
2022-01-20,68.830,77.075,68.295,74.203
2022-01-21,75.500,81.395,71.950,77.994
2022-01-24,77.250,93.800,77.250,92.023
2022-01-25,91.995,94.685,85.755,92.958
2022-01-26,88.450,92.400,86.480,91.303
2022-01-27,91.000,94.450,88.250,91.900
2022-01-28,90.960,93.765,90.650,91.759
2022-01-31,90.000,90.000,83.205,84.672
2022-02-01,83.000,83.000,74.235,76.167
2022-02-02,75.880,79.270,75.880,77.351
